scope,id,ja,ko,en,source_commit
global,24,まんたんのくすり,풀회복약,Max Potion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,25,すごいキズぐすり,고급상처약,Hyper Potion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,26,いいキズぐすり,좋은상처약,Super Potion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,27,なんでもなおし,만병통치제,Full Heal,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,28,げんきのかけら,기력의조각,Revive,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,29,げんきのかたまり,기력의덩어리,Max Revive,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,30,おいしいみず,맛있는물,Fresh Water,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,31,サイコソーダ,미네랄사이다,Soda Pop,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,32,ミックスオレ,후르츠밀크,Lemonade,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,33,モーモーミルク,튼튼밀크,Moomoo Milk,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,34,ちからのこな,힘의가루,Energy Powder,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,35,ちからのねっこ,힘의뿌리,Energy Root,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,36,ばんのうごな,만능가루,Heal Powder,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,37,ふっかつそう,부활초,Revival Herb,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,38,ピーピーエイド,PP에이드,Ether,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,39,ピーピーリカバー,PP회복,Max Ether,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,40,ピーピーエイダー,PP에이더,Elixir,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,41,ピーピーマックス,PP맥스,Max Elixir,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,42,フエンせんべい,용암전병,Lava Cookie,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,43,きのみジュース,나무열매쥬스,Berry Juice,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,44,せいなるはい,성스러운분말,Sacred Ash,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,45,マックスアップ,맥스업,HP Up,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,46,タウリン,타우린,Protein,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,47,ブロムヘキシン,사포닌,Iron,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,48,インドメタシン,알칼로이드,Carbos,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,49,リゾチウム,리보플라빈,Calcium,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,50,ふしぎなアメ,이상한사탕,Rare Candy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,51,ポイントアップ,포인트업,PP Up,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,52,キトサン,키토산,Zinc,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,53,ポイントマックス,포인트맥스,PP Max,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,54,もりのヨウカン,숲의양갱,Old Gateau,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,55,エフェクトガード,이펙트가드,Guard Spec.,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,56,クリティカット,크리티컬커터,Dire Hit,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,57,プラスパワー,플러스파워,X Attack,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,58,ディフェンダー,디펜드업,X Defense,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,59,スピーダー,스피드업,X Speed,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,60,ヨクアタール,잘-맞히기,X Accuracy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,61,スペシャルアップ,스페셜업,X Sp. Atk,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,62,スペシャルガード,스페셜가드,X Sp. Def,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,63,ピッピにんぎょう,삐삐인형,Poké Doll,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,64,エネコのシッポ,에나비꼬리,Fluffy Tail,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,65,あおいビードロ,파랑비드로,Blue Flute,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,66,きいろビードロ,노랑비드로,Yellow Flute,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,67,あかいビードロ,빨강비드로,Red Flute,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,68,くろいビードロ,검정비드로,Black Flute,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,69,しろいビードロ,하양비드로,White Flute,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,70,あさせのしお,여울소금,Shoal Salt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,71,あさせのかいがら,여울조개껍질,Shoal Shell,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,72,あかいかけら,빨강조각,Red Shard,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,73,あおいかけら,파랑조각,Blue Shard,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,74,きいろいかけら,노랑조각,Yellow Shard,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,75,みどりのかけら,초록조각,Green Shard,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,76,シルバースプレー,실버스프레이,Super Repel,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,77,ゴールドスプレー,골드스프레이,Max Repel,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,78,あなぬけのヒモ,동굴탈출로프,Escape Rope,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,79,むしよけスプレー,벌레회피스프레이,Repel,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,80,たいようのいし,태양의돌,Sun Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,81,つきのいし,달의돌,Moon Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,82,ほのおのいし,불꽃의돌,Fire Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,83,かみなりのいし,천둥의돌,Thunder Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,84,みずのいし,물의돌,Water Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,85,リーフのいし,리프의돌,Leaf Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,86,ちいさなキノコ,작은버섯,Tiny Mushroom,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,87,おおきなキノコ,큰버섯,Big Mushroom,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,88,しんじゅ,진주,Pearl,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,89,おおきなしんじゅ,큰진주,Big Pearl,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,90,ほしのすな,별의모래,Stardust,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,91,ほしのかけら,별의조각,Star Piece,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,92,きんのたま,금구슬,Nugget,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,93,ハートのウロコ,하트비늘,Heart Scale,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,94,あまいミツ,달콤한꿀,Honey,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,95,すくすくこやし,무럭무럭비료,Growth Mulch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,96,じめじめこやし,축축이비료,Damp Mulch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,97,ながながこやし,오래오래비료,Stable Mulch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,98,ねばねばこやし,끈적끈적비료,Gooey Mulch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,99,ねっこのカセキ,뿌리화석,Root Fossil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,100,ツメのカセキ,발톱화석,Claw Fossil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,101,かいのカセキ,조개화석,Helix Fossil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,102,こうらのカセキ,껍질화석,Dome Fossil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,103,ひみつのコハク,비밀의호박,Old Amber,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,104,たてのカセキ,방패의화석,Armor Fossil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,105,ずがいのカセキ,두개의화석,Skull Fossil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,106,きちょうなホネ,귀중한뼈,Rare Bone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,107,ひかりのいし,빛의돌,Shiny Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,108,やみのいし,어둠의돌,Dusk Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,109,めざめいし,각성의돌,Dawn Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,110,まんまるいし,동글동글돌,Oval Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,111,かなめいし,쐐기돌,Odd Keystone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,112,はっきんだま,백금옥,Griseous Orb,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,113,おちゃ,차,Tea,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,114,？？？,???,???,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,115,マチスのサイン,마티스의사인,Autograph,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,116,アクアカセット,아쿠아카세트,Douse Drive,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,117,イナズマカセット,번개카세트,Shock Drive,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,118,ブレイズカセット,블레이즈카세트,Burn Drive,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,119,フリーズカセット,프리즈카세트,Chill Drive,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,120,？？？,???,???,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,121,ポケモンボックス,포켓몬 박스,Pokémon Box Link,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,122,かいふくポケット,회복포켓,Medicine Pocket,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,123,わざマシンケース,기술머신케이스,TM Case,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,124,アメボトル,사탕보틀,Candy Jar,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,125,きょうかポケット,강화포켓,Power-Up Pocket,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,126,おきがえトランク,옷갈아입기트렁크,Clothing Trunk,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,127,ほかくポケット,포획포켓,Catching Pocket,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,128,バトルポケット,배틀포켓,Battle Pocket,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,129,？？？,???,???,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,130,？？？,???,???,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,131,？？？,???,???,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,132,？？？,???,???,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,133,？？？,???,???,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,134,ハートスイーツ,하트스위트,Sweet Heart,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,135,こんごうだま,금강옥,Adamant Orb,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,136,しらたま,백옥,Lustrous Orb,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,137,はじめてメール,첫메일,Greet Mail,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,138,だいすきメール,애호메일,Favored Mail,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,139,おさそいメール,권유메일,RSVP Mail,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,140,かんしゃメール,감사메일,Thanks Mail,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,141,しつもんメール,질문메일,Inquiry Mail,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,142,おすすめメール,추천메일,Like Mail,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,143,おかえしメール,답장메일,Reply Mail,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,144,ブリッジメールＳ,브리지메일S,Bridge Mail S,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,145,ブリッジメールＨ,브리지메일M,Bridge Mail D,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,146,ブリッジメールＣ,브리지메일C,Bridge Mail T,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,147,ブリッジメールＶ,브리지메일V,Bridge Mail V,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,148,ブリッジメールＷ,브리지메일W,Bridge Mail M,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,149,クラボのみ,버치열매,Cheri Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,150,カゴのみ,유루열매,Chesto Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,151,モモンのみ,복슝열매,Pecha Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,152,チーゴのみ,복분열매,Rawst Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,153,ナナシのみ,배리열매,Aspear Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,154,ヒメリのみ,과사열매,Leppa Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,155,オレンのみ,오랭열매,Oran Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,156,キーのみ,시몬열매,Persim Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,157,ラムのみ,리샘열매,Lum Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,158,オボンのみ,자뭉열매,Sitrus Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,159,フィラのみ,무화열매,Figy Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,160,ウイのみ,위키열매,Wiki Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,161,マゴのみ,마고열매,Mago Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,162,バンジのみ,아바열매,Aguav Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,163,イアのみ,파야열매,Iapapa Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,164,ズリのみ,라즈열매,Razz Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,165,ブリーのみ,블리열매,Bluk Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,166,ナナのみ,나나열매,Nanab Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,167,セシナのみ,서배열매,Wepear Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,168,パイルのみ,파인열매,Pinap Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,169,ザロクのみ,유석열매,Pomeg Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,170,ネコブのみ,시마열매,Kelpsy Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,171,タポルのみ,파비열매,Qualot Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,172,ロメのみ,로매열매,Hondew Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,173,ウブのみ,또뽀열매,Grepa Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,174,マトマのみ,토망열매,Tamato Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,175,モコシのみ,수숙열매,Cornn Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,176,ゴスのみ,고스티열매,Magost Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,177,ラブタのみ,라부탐열매,Rabuta Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,178,ノメルのみ,노멜열매,Nomel Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,179,ノワキのみ,메호키열매,Spelon Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,180,シーヤのみ,자야열매,Pamtre Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,181,カイスのみ,슈박열매,Watmel Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,182,ドリのみ,두리열매,Durin Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,183,ベリブのみ,루베열매,Belue Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,184,オッカのみ,오카열매,Occa Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,185,イトケのみ,꼬시개열매,Passho Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,186,ソクノのみ,초나열매,Wacan Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,187,リンドのみ,린드열매,Rindo Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,188,ヤチェのみ,플카열매,Yache Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,189,ヨプのみ,로플열매,Chople Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,190,ビアーのみ,으름열매,Kebia Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,191,シュカのみ,슈캐열매,Shuca Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,192,バコウのみ,바코열매,Coba Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,193,ウタンのみ,야파열매,Payapa Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,194,タンガのみ,리체열매,Tanga Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,195,ヨロギのみ,루미열매,Charti Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,196,カシブのみ,수불열매,Kasib Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,197,ハバンのみ,하반열매,Haban Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,198,ナモのみ,마코열매,Colbur Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,199,リリバのみ,바리비열매,Babiri Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,200,ホズのみ,카리열매,Chilan Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,201,チイラのみ,치리열매,Liechi Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,202,リュガのみ,용아열매,Ganlon Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,203,カムラのみ,캄라열매,Salac Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,204,ヤタピのみ,야타비열매,Petaya Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,205,ズアのみ,규살열매,Apicot Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,206,サンのみ,랑사열매,Lansat Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,207,スターのみ,스타열매,Starf Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,208,ナゾのみ,의문열매,Enigma Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,209,ミクルのみ,미클열매,Micle Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,210,イバンのみ,애슈열매,Custap Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,211,ジャポのみ,자보열매,Jaboca Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,212,レンブのみ,애터열매,Rowap Berry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,213,ひかりのこな,반짝가루,Bright Powder,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,214,しろいハーブ,하양허브,White Herb,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,215,きょうせいギプス,교정깁스,Macho Brace,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,216,がくしゅうそうち,학습장치,Exp. Share,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,217,せんせいのツメ,선제공격손톱,Quick Claw,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,218,やすらぎのすず,평온의방울,Soothe Bell,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,219,メンタルハーブ,멘탈허브,Mental Herb,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,220,こだわりハチマキ,구애머리띠,Choice Band,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,221,おうじゃのしるし,왕의징표석,King’s Rock,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,222,ぎんのこな,은빛가루,Silver Powder,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,223,おまもりこばん,부적금화,Amulet Coin,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,224,きよめのおふだ,순결의부적,Cleanse Tag,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,225,こころのしずく,마음의물방울,Soul Dew,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,226,しんかいのキバ,심해의이빨,Deep Sea Tooth,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,227,しんかいのウロコ,심해의비늘,Deep Sea Scale,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,228,けむりだま,연막탄,Smoke Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,229,かわらずのいし,변함없는돌,Everstone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,230,きあいのハチマキ,기합의머리띠,Focus Band,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,231,しあわせタマゴ,행복의알,Lucky Egg,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,232,ピントレンズ,초점렌즈,Scope Lens,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,233,メタルコート,금속코트,Metal Coat,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,234,たべのこし,먹다남은음식,Leftovers,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,235,りゅうのウロコ,용의비늘,Dragon Scale,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,236,でんきだま,전기구슬,Light Ball,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,237,やわらかいすな,부드러운모래,Soft Sand,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,238,かたいいし,딱딱한돌,Hard Stone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,239,きせきのタネ,기적의씨,Miracle Seed,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,240,くろいメガネ,검은안경,Black Glasses,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,241,くろおび,검은띠,Black Belt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,242,じしゃく,자석,Magnet,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,243,しんぴのしずく,신비의물방울,Mystic Water,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,244,するどいくちばし,예리한부리,Sharp Beak,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,245,どくバリ,독바늘,Poison Barb,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,246,とけないこおり,녹지않는얼음,Never-Melt Ice,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,247,のろいのおふだ,저주의부적,Spell Tag,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,248,まがったスプーン,휘어진스푼,Twisted Spoon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,249,もくたん,목탄,Charcoal,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,250,りゅうのキバ,용의이빨,Dragon Fang,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,251,シルクのスカーフ,실크스카프,Silk Scarf,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,252,アップグレード,업그레이드,Upgrade,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,253,かいがらのすず,조개껍질방울,Shell Bell,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,254,うしおのおこう,바닷물향로,Sea Incense,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,255,のんきのおこう,무사태평향로,Lax Incense,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,256,ラッキーパンチ,럭키펀치,Lucky Punch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,257,メタルパウダー,금속파우더,Metal Powder,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,258,ふといホネ,굵은뼈,Thick Club,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
global,259,ながねぎ,대파,Leek,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
