id,ja,ko,en,source_commit
111,サイホーン,뿔카노,Rhyhorn,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
112,サイドン,코뿌리,Rhydon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
113,ラッキー,럭키,Chansey,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
114,モンジャラ,덩쿠리,Tangela,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
115,ガルーラ,캥카,Kangaskhan,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
116,タッツー,쏘드라,Horsea,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
117,シードラ,시드라,Seadra,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
118,トサキント,콘치,Goldeen,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
119,アズマオウ,왕콘치,Seaking,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
120,ヒトデマン,별가사리,Staryu,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
121,スターミー,아쿠스타,Starmie,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
122,バリヤード,마임맨,Mr. Mime,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
123,ストライク,스라크,Scyther,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
124,ルージュラ,루주라,Jynx,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
125,エレブー,에레브,Electabuzz,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
126,ブーバー,마그마,Magmar,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
127,カイロス,쁘사이저,Pinsir,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
128,ケンタロス,켄타로스,Tauros,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
129,コイキング,잉어킹,Magikarp,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
130,ギャラドス,갸라도스,Gyarados,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
131,ラプラス,라프라스,Lapras,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
132,メタモン,메타몽,Ditto,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
133,イーブイ,이브이,Eevee,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
134,シャワーズ,샤미드,Vaporeon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
135,サンダース,쥬피썬더,Jolteon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
136,ブースター,부스터,Flareon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
137,ポリゴン,폴리곤,Porygon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
138,オムナイト,암나이트,Omanyte,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
139,オムスター,암스타,Omastar,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
140,カブト,투구,Kabuto,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
141,カブトプス,투구푸스,Kabutops,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
142,プテラ,프테라,Aerodactyl,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
143,カビゴン,잠만보,Snorlax,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
144,フリーザー,프리져,Articuno,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
145,サンダー,썬더,Zapdos,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
146,ファイヤー,파이어,Moltres,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
147,ミニリュウ,미뇽,Dratini,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
148,ハクリュー,신뇽,Dragonair,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
149,カイリュー,망나뇽,Dragonite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
150,ミュウツー,뮤츠,Mewtwo,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
151,ミュウ,뮤,Mew,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
152,チコリータ,치코리타,Chikorita,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
153,ベイリーフ,베이리프,Bayleef,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
154,メガニウム,메가니움,Meganium,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
155,ヒノアラシ,브케인,Cyndaquil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
156,マグマラシ,마그케인,Quilava,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
157,バクフーン,블레이범,Typhlosion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
158,ワニノコ,리아코,Totodile,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
159,アリゲイツ,엘리게이,Croconaw,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
160,オーダイル,장크로다일,Feraligatr,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
161,オタチ,꼬리선,Sentret,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
162,オオタチ,다꼬리,Furret,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
163,ホーホー,부우부,Hoothoot,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
164,ヨルノズク,야부엉,Noctowl,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
165,レディバ,레디바,Ledyba,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
166,レディアン,레디안,Ledian,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
167,イトマル,페이검,Spinarak,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
168,アリアドス,아리아도스,Ariados,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
169,クロバット,크로뱃,Crobat,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
170,チョンチー,초라기,Chinchou,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
171,ランターン,랜턴,Lanturn,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
172,ピチュー,피츄,Pichu,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
173,ピィ,삐,Cleffa,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
174,ププリン,푸푸린,Igglybuff,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
175,トゲピー,토게피,Togepi,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
176,トゲチック,토게틱,Togetic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
177,ネイティ,네이티,Natu,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
178,ネイティオ,네이티오,Xatu,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
179,メリープ,메리프,Mareep,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
180,モココ,보송송,Flaaffy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
181,デンリュウ,전룡,Ampharos,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
182,キレイハナ,아르코,Bellossom,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
183,マリル,마릴,Marill,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
184,マリルリ,마릴리,Azumarill,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
185,ウソッキー,꼬지모,Sudowoodo,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
186,ニョロトノ,왕구리,Politoed,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
187,ハネッコ,통통코,Hoppip,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
188,ポポッコ,두코,Skiploom,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
189,ワタッコ,솜솜코,Jumpluff,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
190,エイパム,에이팜,Aipom,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
191,ヒマナッツ,해너츠,Sunkern,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
192,キマワリ,해루미,Sunflora,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
193,ヤンヤンマ,왕자리,Yanma,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
194,ウパー,우파,Wooper,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
195,ヌオー,누오,Quagsire,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
196,エーフィ,에브이,Espeon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
197,ブラッキー,블래키,Umbreon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
198,ヤミカラス,니로우,Murkrow,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
199,ヤドキング,야도킹,Slowking,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
200,ムウマ,무우마,Misdreavus,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
201,アンノーン,안농,Unown,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
202,ソーナンス,마자용,Wobbuffet,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
203,キリンリキ,키링키,Girafarig,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
204,クヌギダマ,피콘,Pineco,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
205,フォレトス,쏘콘,Forretress,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
206,ノコッチ,노고치,Dunsparce,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
207,グライガー,글라이거,Gligar,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
208,ハガネール,강철톤,Steelix,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
209,ブルー,블루,Snubbull,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
210,グランブル,그랑블루,Granbull,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
211,ハリーセン,침바루,Qwilfish,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
212,ハッサム,핫삼,Scizor,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
213,ツボツボ,단단지,Shuckle,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
214,ヘラクロス,헤라크로스,Heracross,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
215,ニューラ,포푸니,Sneasel,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
216,ヒメグマ,깜지곰,Teddiursa,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
217,リングマ,링곰,Ursaring,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
218,マグマッグ,마그마그,Slugma,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
219,マグカルゴ,마그카르고,Magcargo,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
220,ウリムー,꾸꾸리,Swinub,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
221,イノムー,메꾸리,Piloswine,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
222,サニーゴ,코산호,Corsola,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
223,テッポウオ,총어,Remoraid,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
224,オクタン,대포무노,Octillery,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
225,デリバード,딜리버드,Delibird,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
226,マンタイン,만타인,Mantine,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
227,エアームド,무장조,Skarmory,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
228,デルビル,델빌,Houndour,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
229,ヘルガー,헬가,Houndoom,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
230,キングドラ,킹드라,Kingdra,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
231,ゴマゾウ,코코리,Phanpy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
232,ドンファン,코리갑,Donphan,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
233,ポリゴン２,폴리곤2,Porygon2,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
234,オドシシ,노라키,Stantler,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
235,ドーブル,루브도,Smeargle,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
236,バルキー,배루키,Tyrogue,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
237,カポエラー,카포에라,Hitmontop,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
238,ムチュール,뽀뽀라,Smoochum,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
239,エレキッド,에레키드,Elekid,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
240,ブビィ,마그비,Magby,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
241,ミルタンク,밀탱크,Miltank,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
242,ハピナス,해피너스,Blissey,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
243,ライコウ,라이코,Raikou,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
244,エンテイ,앤테이,Entei,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
245,スイクン,스이쿤,Suicune,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
246,ヨーギラス,애버라스,Larvitar,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
247,サナギラス,데기라스,Pupitar,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
248,バンギラス,마기라스,Tyranitar,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
249,ルギア,루기아,Lugia,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
250,ホウオウ,칠색조,Ho-Oh,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
251,セレビィ,세레비,Celebi,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
252,キモリ,나무지기,Treecko,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
253,ジュプトル,나무돌이,Grovyle,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
254,ジュカイン,나무킹,Sceptile,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
255,アチャモ,아차모,Torchic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
256,ワカシャモ,영치코,Combusken,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
257,バシャーモ,번치코,Blaziken,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
258,ミズゴロウ,물짱이,Mudkip,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
259,ヌマクロー,늪짱이,Marshtomp,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
260,ラグラージ,대짱이,Swampert,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
261,ポチエナ,포챠나,Poochyena,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
262,グラエナ,그라에나,Mightyena,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
263,ジグザグマ,지그제구리,Zigzagoon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
264,マッスグマ,직구리,Linoone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
265,ケムッソ,개무소,Wurmple,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
266,カラサリス,실쿤,Silcoon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
267,アゲハント,뷰티플라이,Beautifly,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
268,マユルド,카스쿤,Cascoon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
269,ドクケイル,독케일,Dustox,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
270,ハスボー,연꽃몬,Lotad,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
271,ハスブレロ,로토스,Lombre,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
272,ルンパッパ,로파파,Ludicolo,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
273,タネボー,도토링,Seedot,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
274,コノハナ,잎새코,Nuzleaf,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
275,ダーテング,다탱구,Shiftry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
276,スバメ,테일로,Taillow,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
277,オオスバメ,스왈로,Swellow,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
278,キャモメ,갈모매,Wingull,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
279,ペリッパー,패리퍼,Pelipper,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
280,ラルトス,랄토스,Ralts,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
281,キルリア,킬리아,Kirlia,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
282,サーナイト,가디안,Gardevoir,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
283,アメタマ,비구술,Surskit,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
284,アメモース,비나방,Masquerain,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
285,キノココ,버섯꼬,Shroomish,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
286,キノガッサ,버섯모,Breloom,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
287,ナマケロ,게을로,Slakoth,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
288,ヤルキモノ,발바로,Vigoroth,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
289,ケッキング,게을킹,Slaking,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
290,ツチニン,토중몬,Nincada,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
