id,ja,ko,en,source_commit
33,すいすい,쓱쓱,Swift Swim,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
34,ようりょくそ,엽록소,Chlorophyll,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
35,はっこう,발광,Illuminate,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
36,トレース,트레이스,Trace,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
37,ちからもち,천하장사,Huge Power,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
38,どくのトゲ,독가시,Poison Point,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
39,せいしんりょく,정신력,Inner Focus,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
40,マグマのよろい,마그마의무장,Magma Armor,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
41,みずのベール,수의베일,Water Veil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
42,じりょく,자력,Magnet Pull,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
43,ぼうおん,방음,Soundproof,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
44,あめうけざら,젖은접시,Rain Dish,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
45,すなおこし,모래날림,Sand Stream,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
46,プレッシャー,프레셔,Pressure,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
47,あついしぼう,두꺼운지방,Thick Fat,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
48,はやおき,일찍기상,Early Bird,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
49,ほのおのからだ,불꽃몸,Flame Body,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
50,にげあし,도주,Run Away,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
51,するどいめ,날카로운눈,Keen Eye,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
52,かいりきバサミ,괴력집게,Hyper Cutter,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
53,ものひろい,픽업,Pickup,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
54,なまけ,게으름,Truant,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
55,はりきり,의욕,Hustle,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
56,メロメロボディ,헤롱헤롱바디,Cute Charm,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
57,プラス,플러스,Plus,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
58,マイナス,마이너스,Minus,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
59,てんきや,기분파,Forecast,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
60,ねんちゃく,점착,Sticky Hold,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
61,だっぴ,탈피,Shed Skin,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
62,こんじょう,근성,Guts,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
63,ふしぎなうろこ,이상한비늘,Marvel Scale,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
64,ヘドロえき,해감액,Liquid Ooze,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
65,しんりょく,심록,Overgrow,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
66,もうか,맹화,Blaze,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
67,げきりゅう,급류,Torrent,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
68,むしのしらせ,벌레의알림,Swarm,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
69,いしあたま,돌머리,Rock Head,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
70,ひでり,가뭄,Drought,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
71,ありじごく,개미지옥,Arena Trap,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
72,やるき,의기양양,Vital Spirit,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
73,しろいけむり,하얀연기,White Smoke,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
74,ヨガパワー,순수한힘,Pure Power,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
75,シェルアーマー,조가비갑옷,Shell Armor,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
76,エアロック,에어록,Air Lock,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
77,ちどりあし,갈지자걸음,Tangled Feet,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
78,でんきエンジン,전기엔진,Motor Drive,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
79,とうそうしん,투쟁심,Rivalry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
80,ふくつのこころ,불굴의마음,Steadfast,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
81,ゆきがくれ,눈숨기,Snow Cloak,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
82,くいしんぼう,먹보,Gluttony,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
83,いかりのつぼ,분노의경혈,Anger Point,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
84,かるわざ,곡예,Unburden,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
85,たいねつ,내열,Heatproof,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
86,たんじゅん,단순,Simple,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
87,かんそうはだ,건조피부,Dry Skin,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
88,ダウンロード,다운로드,Download,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
89,てつのこぶし,철주먹,Iron Fist,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
90,ポイズンヒール,포이즌힐,Poison Heal,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
91,てきおうりょく,적응력,Adaptability,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
92,スキルリンク,스킬링크,Skill Link,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
93,うるおいボディ,촉촉바디,Hydration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
94,サンパワー,선파워,Solar Power,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
95,はやあし,속보,Quick Feet,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
96,ノーマルスキン,노말스킨,Normalize,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
97,スナイパー,스나이퍼,Sniper,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
98,マジックガード,매직가드,Magic Guard,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
99,ノーガード,노가드,No Guard,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
100,あとだし,시간벌기,Stall,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
101,テクニシャン,테크니션,Technician,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
102,リーフガード,리프가드,Leaf Guard,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
103,ぶきよう,서투름,Klutz,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
104,かたやぶり,틀깨기,Mold Breaker,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
105,きょううん,대운,Super Luck,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
106,ゆうばく,유폭,Aftermath,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
107,きけんよち,위험예지,Anticipation,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
108,よちむ,예지몽,Forewarn,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
109,てんねん,천진,Unaware,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
110,いろめがね,색안경,Tinted Lens,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
111,フィルター,필터,Filter,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
112,スロースタート,슬로스타트,Slow Start,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
113,きもったま,배짱,Scrappy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
114,よびみず,마중물,Storm Drain,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
115,アイスボディ,아이스바디,Ice Body,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
116,ハードロック,하드록,Solid Rock,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
117,ゆきふらし,눈퍼뜨리기,Snow Warning,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
118,みつあつめ,꿀모으기,Honey Gather,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
119,おみとおし,통찰,Frisk,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
120,すてみ,이판사판,Reckless,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
121,マルチタイプ,멀티타입,Multitype,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
122,フラワーギフト,플라워기프트,Flower Gift,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
123,ナイトメア,나이트메어,Bad Dreams,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
124,わるいてぐせ,나쁜손버릇,Pickpocket,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
125,ちからずく,우격다짐,Sheer Force,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
126,あまのじゃく,심술꾸러기,Contrary,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
127,きんちょうかん,긴장감,Unnerve,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
128,まけんき,오기,Defiant,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
129,よわき,무기력,Defeatist,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
130,のろわれボディ,저주받은바디,Cursed Body,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
131,いやしのこころ,치유의마음,Healer,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
132,フレンドガード,프렌드가드,Friend Guard,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
133,くだけるよろい,깨어진갑옷,Weak Armor,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
134,ヘヴィメタル,헤비메탈,Heavy Metal,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
135,ライトメタル,라이트메탈,Light Metal,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
136,マルチスケイル,멀티스케일,Multiscale,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
137,どくぼうそう,독폭주,Toxic Boost,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
138,ねつぼうそう,열폭주,Flare Boost,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
139,しゅうかく,수확,Harvest,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
140,テレパシー,텔레파시,Telepathy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
141,ムラっけ,변덕쟁이,Moody,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
142,ぼうじん,방진,Overcoat,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
143,どくしゅ,독수,Poison Touch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
144,さいせいりょく,재생력,Regenerator,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
145,はとむね,부풀린가슴,Big Pecks,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
146,すなかき,모래헤치기,Sand Rush,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
147,ミラクルスキン,미라클스킨,Wonder Skin,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
148,アナライズ,애널라이즈,Analytic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
149,イリュージョン,일루전,Illusion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
150,かわりもの,괴짜,Imposter,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
151,すりぬけ,틈새포착,Infiltrator,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
152,ミイラ,미라,Mummy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
153,じしんかじょう,자기과신,Moxie,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
154,せいぎのこころ,정의의마음,Justified,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
155,びびり,주눅,Rattled,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
156,マジックミラー,매직미러,Magic Bounce,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
157,そうしょく,초식,Sap Sipper,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
158,いたずらごころ,짓궂은마음,Prankster,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
159,すなのちから,모래의힘,Sand Force,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
160,てつのトゲ,철가시,Iron Barbs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
161,ダルマモード,달마모드,Zen Mode,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
162,しょうりのほし,승리의별,Victory Star,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
163,ターボブレイズ,터보블레이즈,Turboblaze,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
164,テラボルテージ,테라볼티지,Teravolt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
165,アロマベール,아로마베일,Aroma Veil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
166,フラワーベール,플라워베일,Flower Veil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
167,ほおぶくろ,볼주머니,Cheek Pouch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
168,へんげんじざい,변환자재,Protean,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
169,ファーコート,퍼코트,Fur Coat,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
170,マジシャン,매지션,Magician,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
171,ぼうだん,방탄,Bulletproof,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
172,かちき,승기,Competitive,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
173,がんじょうあご,옹골찬턱,Strong Jaw,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
174,フリーズスキン,프리즈스킨,Refrigerate,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
175,スイートベール,스위트베일,Sweet Veil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
176,バトルスイッチ,배틀스위치,Stance Change,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
177,はやてのつばさ,질풍날개,Gale Wings,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
178,メガランチャー,메가런처,Mega Launcher,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
179,くさのけがわ,풀모피,Grass Pelt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
180,きょうせい,공생,Symbiosis,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
181,かたいツメ,단단한발톱,Tough Claws,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
182,フェアリースキン,페어리스킨,Pixilate,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
183,ぬめぬめ,미끈미끈,Gooey,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
184,スカイスキン,스카이스킨,Aerilate,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
185,おやこあい,부자유친,Parental Bond,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
186,ダークオーラ,다크오라,Dark Aura,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
187,フェアリーオーラ,페어리오라,Fairy Aura,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
188,オーラブレイク,오라브레이크,Aura Break,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
189,はじまりのうみ,시작의바다,Primordial Sea,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
190,おわりのだいち,끝의대지,Desolate Land,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
191,デルタストリーム,델타스트림,Delta Stream,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
192,じきゅうりょく,지구력,Stamina,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
193,にげごし,도망태세,Wimp Out,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
194,ききかいひ,위기회피,Emergency Exit,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
195,みずがため,꾸덕꾸덕굳기,Water Compaction,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
196,ひとでなし,무도한행동,Merciless,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
197,リミットシールド,리밋실드,Shields Down,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
198,はりこみ,잠복,Stakeout,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
199,すいほう,수포,Water Bubble,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
200,はがねつかい,강철술사,Steelworker,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
201,ぎゃくじょう,발끈,Berserk,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
202,ゆきかき,눈치우기,Slush Rush,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
203,えんかく,원격,Long Reach,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
204,うるおいボイス,촉촉보이스,Liquid Voice,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
205,ヒーリングシフト,힐링시프트,Triage,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
206,エレキスキン,일렉트릭스킨,Galvanize,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
207,サーフテール,서핑테일,Surge Surfer,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
208,ぎょぐん,어군,Schooling,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
209,ばけのかわ,탈,Disguise,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
210,きずなへんげ,유대변화,Battle Bond,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
211,スワームチェンジ,스웜체인지,Power Construct,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
212,ふしょく,부식,Corrosion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
213,ぜったいねむり,절대안깸,Comatose,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
214,じょおうのいげん,여왕의위엄,Queenly Majesty,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
215,とびだすなかみ,내용물분출,Innards Out,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
216,おどりこ,무희,Dancer,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
217,バッテリー,배터리,Battery,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
218,もふもふ,복슬복슬,Fluffy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
219,ビビッドボディ,비비드바디,Dazzling,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
220,ソウルハート,소울하트,Soul-Heart,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
221,カーリーヘアー,컬리헤어,Tangling Hair,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
222,レシーバー,리시버,Receiver,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
223,かがくのちから,화학의힘,Power of Alchemy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
224,ビーストブースト,비스트부스트,Beast Boost,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
225,ＡＲシステム,AR시스템,RKS System,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
226,エレキメイカー,일렉트릭메이커,Electric Surge,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
227,サイコメイカー,사이코메이커,Psychic Surge,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
228,ミストメイカー,미스트메이커,Misty Surge,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
229,グラスメイカー,그래스메이커,Grassy Surge,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
230,メタルプロテクト,메탈프로텍트,Full Metal Body,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
231,ファントムガード,스펙터가드,Shadow Shield,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
232,プリズムアーマー,프리즘아머,Prism Armor,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
233,ブレインフォース,브레인포스,Neuroforce,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
234,ふとうのけん,불요의검,Intrepid Sword,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
235,ふくつのたて,불굴의방패,Dauntless Shield,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
236,リベロ,리베로,Libero,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
237,たまひろい,볼줍기,Ball Fetch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
238,わたげ,솜털,Cotton Down,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
239,スクリューおびれ,스크루지느러미,Propeller Tail,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
240,ミラーアーマー,미러아머,Mirror Armor,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
241,うのミサイル,그대로꿀꺽미사일,Gulp Missile,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
242,すじがねいり,굳건한신념,Stalwart,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
243,じょうききかん,증기기관,Steam Engine,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
244,パンクロック,펑크록,Punk Rock,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
245,すなはき,모래뿜기,Sand Spit,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
246,こおりのりんぷん,얼음인분,Ice Scales,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
247,じゅくせい,숙성,Ripen,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
248,アイスフェイス,아이스페이스,Ice Face,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
249,パワースポット,파워스폿,Power Spot,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
250,ぎたい,의태,Mimicry,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
251,バリアフリー,배리어프리,Screen Cleaner,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
252,はがねのせいしん,강철정신,Steely Spirit,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
253,ほろびのボディ,멸망의바디,Perish Body,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
254,さまようたましい,떠도는영혼,Wandering Spirit,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
255,ごりむちゅう,무아지경,Gorilla Tactics,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
256,かがくへんかガス,화학변화가스,Neutralizing Gas,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
257,パステルベール,파스텔베일,Pastel Veil,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
258,はらぺこスイッチ,꼬르륵스위치,Hunger Switch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
259,クイックドロウ,퀵드로,Quick Draw,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
260,ふかしのこぶし,보이지않는주먹,Unseen Fist,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
261,きみょうなくすり,기묘한약,Curious Medicine,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
262,トランジスタ,트랜지스터,Transistor,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
263,りゅうのあぎと,용의턱,Dragon’s Maw,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
264,しろのいななき,백의울음,Chilling Neigh,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
265,くろのいななき,흑의울음,Grim Neigh,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
266,じんばいったい,혼연일체,As One,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
267,じんばいったい,혼연일체,As One,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
268,とれないにおい,가시지않는향기,Lingering Aroma,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
269,こぼれダネ,넘치는씨,Seed Sower,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
270,ねつこうかん,열교환,Thermal Exchange,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
271,いかりのこうら,분노의껍질,Anger Shell,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
272,きよめのしお,정화의소금,Purifying Salt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
273,こんがりボディ,노릇노릇바디,Well-Baked Body,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
274,かぜのり,바람타기,Wind Rider,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
275,ばんけん,파수견,Guard Dog,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
276,いわはこび,바위나르기,Rocky Payload,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
277,ふうりょくでんき,풍력발전,Wind Power,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
278,マイティチェンジ,마이티체인지,Zero to Hero,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
