id,ja,ko,en,source_commit
38,RibbonCountMemoryBattle	おもいでバトルリボン,RibbonCountMemoryBattle	추억배틀리본,RibbonCountMemoryBattle	Battle Memory,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
39,RibbonChampionG6Hoenn	ホウエン　チャンプリボン (ORAS),RibbonChampionG6Hoenn	호연챔피언리본 (ORAS),RibbonChampionG6Hoenn	Hoenn Champion (ORAS),8ad201e80244f630ab5a46922ab72fb79c5ad4f4
40,RibbonContestStar	コンテストスターリボン,RibbonContestStar	콘테스트스타리본,RibbonContestStar	Contest Star,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
41,RibbonMasterCoolness	かっこよさマスターリボン,RibbonMasterCoolness	근사함마스터리본,RibbonMasterCoolness	Coolness Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
42,RibbonMasterBeauty	うつくしさマスターリボン,RibbonMasterBeauty	아름다움마스터리본,RibbonMasterBeauty	Beauty Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
43,RibbonMasterCuteness	かわいさマスターリボン,RibbonMasterCuteness	귀여움마스터리본,RibbonMasterCuteness	Cuteness Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
44,RibbonMasterCleverness	かしこさマスターリボン,RibbonMasterCleverness	슬기로움마스터리본,RibbonMasterCleverness	Cleverness Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
45,RibbonMasterToughness	たくましさマスターリボン,RibbonMasterToughness	강인함마스터리본,RibbonMasterToughness	Toughness Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
46,RibbonG3Cool	クールリボン (3世代),RibbonG3Cool	쿨리본 (3세대),RibbonG3Cool	Cool (G3),8ad201e80244f630ab5a46922ab72fb79c5ad4f4
47,RibbonG3CoolSuper	クールリボンスーパー (3世代),RibbonG3CoolSuper	쿨리본슈퍼,RibbonG3CoolSuper	Cool Super,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
48,RibbonG3CoolHyper	クールリボンハイパー (3世代),RibbonG3CoolHyper	쿨리본하이퍼,RibbonG3CoolHyper	Cool Hyper,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
49,RibbonG3CoolMaster	クールリボンマスター (3世代),RibbonG3CoolMaster	쿨리본마스터,RibbonG3CoolMaster	Cool Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
50,RibbonG3Beauty	ビューティリボン (3世代),RibbonG3Beauty	뷰티리본 (3세대),RibbonG3Beauty	Beauty (G3),8ad201e80244f630ab5a46922ab72fb79c5ad4f4
51,RibbonG3BeautySuper	ビューティリボンスーパー (3世代),RibbonG3BeautySuper	뷰티리본슈퍼,RibbonG3BeautySuper	Beauty Super,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
52,RibbonG3BeautyHyper	ビューティリボンハイパー (3世代),RibbonG3BeautyHyper	뷰티리본하이퍼,RibbonG3BeautyHyper	Beauty Hyper,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
53,RibbonG3BeautyMaster	ビューティリボンマスター (3世代),RibbonG3BeautyMaster	뷰티리본마스터,RibbonG3BeautyMaster	Beauty Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
54,RibbonG3Cute	キュートリボン (3世代),RibbonG3Cute	큐트리본 (3세대),RibbonG3Cute	Cute (G3),8ad201e80244f630ab5a46922ab72fb79c5ad4f4
55,RibbonG3CuteSuper	キュートリボンスーパー (3世代),RibbonG3CuteSuper	큐트리본슈퍼,RibbonG3CuteSuper	Cute Super,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
56,RibbonG3CuteHyper	キュートリボンハイパー (3世代),RibbonG3CuteHyper	큐트리본하이퍼,RibbonG3CuteHyper	Cute Hyper,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
57,RibbonG3CuteMaster	キュートリボンマスター (3世代),RibbonG3CuteMaster	큐트리본마스터,RibbonG3CuteMaster	Cute Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
58,RibbonG3Smart	ジーニアスリボン (3世代),RibbonG3Smart	지니어스리본 (3세대),RibbonG3Smart	Smart (G3),8ad201e80244f630ab5a46922ab72fb79c5ad4f4
59,RibbonG3SmartSuper	ジーニアスリボンスーパー (3世代),RibbonG3SmartSuper	지니어스리본슈퍼,RibbonG3SmartSuper	Smart Super,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
60,RibbonG3SmartHyper	ジーニアスリボンハイパー (3世代),RibbonG3SmartHyper	지니어스리본하이퍼,RibbonG3SmartHyper	Smart Hyper,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
61,RibbonG3SmartMaster	ジーニアスリボンマスター (3世代),RibbonG3SmartMaster	지니어스리본마스터,RibbonG3SmartMaster	Smart Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
62,RibbonG3Tough	パワフルリボン (3世代),RibbonG3Tough	파워풀리본 (3세대),RibbonG3Tough	Tough (G3),8ad201e80244f630ab5a46922ab72fb79c5ad4f4
63,RibbonG3ToughSuper	パワフルリボンスーパー (3世代),RibbonG3ToughSuper	파워풀리본슈퍼,RibbonG3ToughSuper	Tough Super,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
64,RibbonG3ToughHyper	パワフルリボンハイパー (3世代),RibbonG3ToughHyper	파워풀리본하이퍼,RibbonG3ToughHyper	Tough Hyper,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
65,RibbonG3ToughMaster	パワフルリボンマスター (3世代),RibbonG3ToughMaster	파워풀리본마스터,RibbonG3ToughMaster	Tough Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
66,RibbonG4Cool	クールリボン (4世代),RibbonG4Cool	쿨리본 (4세대),RibbonG4Cool	Cool (G4),8ad201e80244f630ab5a46922ab72fb79c5ad4f4
67,RibbonG4CoolGreat	クールリボングレート (4世代),RibbonG4CoolGreat	쿨리본그레이트,RibbonG4CoolGreat	Cool Great,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
68,RibbonG4CoolUltra	クールリボンウルトラ (4世代),RibbonG4CoolUltra	쿨리본울트라,RibbonG4CoolUltra	Cool Ultra,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
69,RibbonG4CoolMaster	クールリボンマスター (4世代),RibbonG4CoolMaster	쿨리본마스터,RibbonG4CoolMaster	Cool Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
70,RibbonG4Beauty	ビューティリボン (4世代),RibbonG4Beauty	뷰티리본 (4세대),RibbonG4Beauty	Beauty (G4),8ad201e80244f630ab5a46922ab72fb79c5ad4f4
71,RibbonG4BeautyGreat	ビューティーリボングレート (4世代),RibbonG4BeautyGreat	뷰티리본그레이트,RibbonG4BeautyGreat	Beauty Great,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
72,RibbonG4BeautyUltra	ビューティーリボンウルトラ (4世代),RibbonG4BeautyUltra	뷰티리본울트라,RibbonG4BeautyUltra	Beauty Ultra,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
73,RibbonG4BeautyMaster	ビューティーリボンマスター (4世代),RibbonG4BeautyMaster	뷰티리본마스터,RibbonG4BeautyMaster	Beauty Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
74,RibbonG4Cute	キュートリボン (4世代),RibbonG4Cute	큐트리본 (4세대),RibbonG4Cute	Cute (G4),8ad201e80244f630ab5a46922ab72fb79c5ad4f4
75,RibbonG4CuteGreat	キュートリボングレート (4世代),RibbonG4CuteGreat	큐트리본그레이트,RibbonG4CuteGreat	Cute Great,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
76,RibbonG4CuteUltra	キュートリボンウルトラ (4世代),RibbonG4CuteUltra	큐트리본울트라,RibbonG4CuteUltra	Cute Ultra,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
77,RibbonG4CuteMaster	キュートリボンマスター (4世代),RibbonG4CuteMaster	큐트리본마스터,RibbonG4CuteMaster	Cute Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
78,RibbonG4Smart	ジーニアスリボン (4世代),RibbonG4Smart	지니어스리본 (4세대),RibbonG4Smart	Smart (G4),8ad201e80244f630ab5a46922ab72fb79c5ad4f4
79,RibbonG4SmartGreat	ジーニアスリボングレート (4世代),RibbonG4SmartGreat	지니어스리본그레이트,RibbonG4SmartGreat	Smart Great,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
80,RibbonG4SmartUltra	ジーニアスリボンウルトラ (4世代),RibbonG4SmartUltra	지니어스리본울트라,RibbonG4SmartUltra	Smart Ultra,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
81,RibbonG4SmartMaster	ジーニアスリボンマスター (4世代),RibbonG4SmartMaster	지니어스리본마스터,RibbonG4SmartMaster	Smart Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
82,RibbonG4Tough	パワフルリボン (4世代),RibbonG4Tough	파워풀리본 (4세대),RibbonG4Tough	Tough (G4),8ad201e80244f630ab5a46922ab72fb79c5ad4f4
83,RibbonG4ToughGreat	パワフルリボングレート (4世代),RibbonG4ToughGreat	파워풀리본그레이트,RibbonG4ToughGreat	Tough Great,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
84,RibbonG4ToughUltra	パワフルリボンウルトラ (4世代),RibbonG4ToughUltra	파워풀리본울트라,RibbonG4ToughUltra	Tough Ultra,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
85,RibbonG4ToughMaster	パワフルリボンマスター (4世代),RibbonG4ToughMaster	파워풀리본마스터,RibbonG4ToughMaster	Tough Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
86,RibbonWinning	ウイニングリボン,RibbonWinning	위닝리본,RibbonWinning	Winning,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
87,RibbonVictory	ビクトリーリボン,RibbonVictory	빅토리리본,RibbonVictory	Victory,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
88,RibbonAbility	アビリティリボン,RibbonAbility	어빌리티리본,RibbonAbility	Ability,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
89,RibbonAbilityGreat	グレートアビリティリボン,RibbonAbilityGreat	그레이트어빌리티리본,RibbonAbilityGreat	Great Ability,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
90,RibbonAbilityDouble	ダブルアビリティリボン,RibbonAbilityDouble	더블어빌리티리본,RibbonAbilityDouble	Double Ability,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
91,RibbonAbilityMulti	マルチアビリティリボン,RibbonAbilityMulti	멀티어빌리티리본,RibbonAbilityMulti	Multi Ability,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
92,RibbonAbilityPair	ペアアビリティリボン,RibbonAbilityPair	페어어빌리티리본,RibbonAbilityPair	Pair Ability,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
93,RibbonAbilityWorld	ワールドアビリティリボン,RibbonAbilityWorld	월드어빌리티리본,RibbonAbilityWorld	World Ability,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
94,RibbonCountG3Cool	かっこよさリボン,RibbonCountG3Cool	쿨리본,RibbonCountG3Cool	Cool,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
95,RibbonCountG3Beauty	うつくしさリボン,RibbonCountG3Beauty	뷰티리본,RibbonCountG3Beauty	Beauty,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
96,RibbonCountG3Cute	かわいさリボン,RibbonCountG3Cute	큐트리본,RibbonCountG3Cute	Cute,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
97,RibbonCountG3Smart	かしこさリボン,RibbonCountG3Smart	지니어스리본,RibbonCountG3Smart	Smart,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
98,RibbonCountG3Tough	たくましさリボン,RibbonCountG3Tough	파워풀리본,RibbonCountG3Tough	Tough,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
99,RibbonChampionAlola	アローラ　チャンプリボン,RibbonChampionAlola	알로라챔피언리본,RibbonChampionAlola	Alola Champion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
100,RibbonBattleRoyale	ロイヤルマスターリボン,RibbonBattleRoyale	로열마스터리본,RibbonBattleRoyale	Battle Royal Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
101,RibbonBattleTreeGreat	グレートツリーリボン,RibbonBattleTreeGreat	그레이트트리리본,RibbonBattleTreeGreat	Battle Tree Great,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
102,RibbonBattleTreeMaster	マスターツリーリボン,RibbonBattleTreeMaster	마스터트리리본,RibbonBattleTreeMaster	Battle Tree Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
103,RibbonChampionGalar	ガラル チャンプリボン,RibbonChampionGalar	가라르챔피언리본,RibbonChampionGalar	Galar Champion,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
104,RibbonTowerMaster	マスタータワーリボン,RibbonTowerMaster	마스터타워리본,RibbonTowerMaster	Tower Master,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
105,RibbonMasterRank	マスターランクリボン,RibbonMasterRank	마스터랭크리본,RibbonMasterRank	Master Rank,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
106,RibbonMarkLunchtime	しょうごのあかし,RibbonMarkLunchtime	정오의증표,RibbonMarkLunchtime	Lunchtime Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
107,RibbonMarkSleepyTime	しょうしのあかし,RibbonMarkSleepyTime	자정의증표,RibbonMarkSleepyTime	Sleepy-Time Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
108,RibbonMarkDusk	たそがれのあかし,RibbonMarkDusk	황혼의증표,RibbonMarkDusk	Dusk Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
109,RibbonMarkDawn	あかつきのあかし,RibbonMarkDawn	새벽의증표,RibbonMarkDawn	Dawn Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
110,RibbonMarkCloudy	どんてんのあかし,RibbonMarkCloudy	흐림의증표,RibbonMarkCloudy	Cloudy Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
111,RibbonMarkRainy	あめふりのあかし,RibbonMarkRainy	강우의증표,RibbonMarkRainy	Rainy Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
112,RibbonMarkStormy	いかづちのあかし,RibbonMarkStormy	우레의증표,RibbonMarkStormy	Stormy Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
113,RibbonMarkSnowy	こうせつのあかし,RibbonMarkSnowy	강설의증표,RibbonMarkSnowy	Snowy Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
114,RibbonMarkBlizzard	ごうせつのあかし,RibbonMarkBlizzard	폭설의증표,RibbonMarkBlizzard	Blizzard Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
115,RibbonMarkDry	かんそうのあかし,RibbonMarkDry	건조의증표,RibbonMarkDry	Dry Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
116,RibbonMarkSandstorm	さじんのあかし,RibbonMarkSandstorm	모래먼지의증표,RibbonMarkSandstorm	Sandstorm Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
117,RibbonMarkMisty	のうむのあかし,RibbonMarkMisty	짙은안개의증표,RibbonMarkMisty	Misty Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
118,RibbonMarkDestiny	うんめいのあかし,RibbonMarkDestiny	운명의증표,RibbonMarkDestiny	Destiny Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
119,RibbonMarkFishing	つりあげられたあかし,RibbonMarkFishing	낚아올린증표,RibbonMarkFishing	Fishing Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
120,RibbonMarkCurry	カレーのあかし,RibbonMarkCurry	카레의증표,RibbonMarkCurry	Curry Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
121,RibbonMarkUncommon	ときどきみるあかし,RibbonMarkUncommon	가끔보는증표,RibbonMarkUncommon	Uncommon Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
122,RibbonMarkRare	みたことのないあかし,RibbonMarkRare	본적없는증표,RibbonMarkRare	Rare Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
123,RibbonMarkRowdy	わんぱくなあかし,RibbonMarkRowdy	장난꾸러기증표,RibbonMarkRowdy	Rowdy Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
124,RibbonMarkAbsentMinded	のうてんきなあかし,RibbonMarkAbsentMinded	촐랑거리는증표,RibbonMarkAbsentMinded	Absent-Minded Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
125,RibbonMarkJittery	きんちょうのあかし,RibbonMarkJittery	긴장의증표,RibbonMarkJittery	Jittery Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
126,RibbonMarkExcited	きたいのあかし,RibbonMarkExcited	기대의증표,RibbonMarkExcited	Excited Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
127,RibbonMarkCharismatic	カリスマのあかし,RibbonMarkCharismatic	카리스마의증표,RibbonMarkCharismatic	Charismatic Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
128,RibbonMarkCalmness	れいせいのあかし,RibbonMarkCalmness	냉정의증표,RibbonMarkCalmness	Calmness Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
129,RibbonMarkIntense	じょうねつのあかし,RibbonMarkIntense	정열의증표,RibbonMarkIntense	Intense Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
130,RibbonMarkZonedOut	ゆだんのあかし,RibbonMarkZonedOut	방심의증표,RibbonMarkZonedOut	Zoned-Out Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
131,RibbonMarkJoyful	たこうのあかし,RibbonMarkJoyful	다행의증표,RibbonMarkJoyful	Joyful Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
132,RibbonMarkAngry	ふんぬのあかし,RibbonMarkAngry	분노의증표,RibbonMarkAngry	Angry Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
133,RibbonMarkSmiley	びしょうのあかし,RibbonMarkSmiley	미소의증표,RibbonMarkSmiley	Smiley Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
134,RibbonMarkTeary	ひそうのあかし,RibbonMarkTeary	비통의증표,RibbonMarkTeary	Teary Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
135,RibbonMarkUpbeat	かいちょうのあかし,RibbonMarkUpbeat	쾌조의증표,RibbonMarkUpbeat	Upbeat Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
136,RibbonMarkPeeved	げきはつのあかし,RibbonMarkPeeved	격렬의증표,RibbonMarkPeeved	Peeved Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
137,RibbonMarkIntellectual	りせいのあかし,RibbonMarkIntellectual	이성의증표,RibbonMarkIntellectual	Intellectual Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
138,RibbonMarkFerocious	ほんのうのあかし,RibbonMarkFerocious	본능의증표,RibbonMarkFerocious	Ferocious Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
139,RibbonMarkCrafty	こうかつのあかし,RibbonMarkCrafty	교활의증표,RibbonMarkCrafty	Crafty Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
140,RibbonMarkScowling	こわもてのあかし,RibbonMarkScowling	두려움의증표,RibbonMarkScowling	Scowling Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
141,RibbonMarkKindly	やさがたのあかし,RibbonMarkKindly	상냥함의증표,RibbonMarkKindly	Kindly Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
142,RibbonMarkFlustered	どうようのあかし,RibbonMarkFlustered	동요의증표,RibbonMarkFlustered	Flustered Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
143,RibbonMarkPumpedUp	こうようのあかし,RibbonMarkPumpedUp	고양의증표,RibbonMarkPumpedUp	Pumped-Up Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
144,RibbonMarkZeroEnergy	けんたいのあかし,RibbonMarkZeroEnergy	권태의증표,RibbonMarkZeroEnergy	Zero Energy Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
145,RibbonMarkPrideful	じしんのあかし,RibbonMarkPrideful	자신의증표,RibbonMarkPrideful	Prideful Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
146,RibbonMarkUnsure	ふしんのあかし,RibbonMarkUnsure	불신의증표,RibbonMarkUnsure	Unsure Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
147,RibbonMarkHumble	ぼくとつのあかし,RibbonMarkHumble	순박의증표,RibbonMarkHumble	Humble Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
148,RibbonMarkThorny	ふじゅんのあかし,RibbonMarkThorny	불순의증표,RibbonMarkThorny	Thorny Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
149,RibbonMarkVigor	げんきのあかし,RibbonMarkVigor	기력의증표,RibbonMarkVigor	Vigor Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
150,RibbonMarkSlump	ふちょうのあかし,RibbonMarkSlump	피곤의증표,RibbonMarkSlump	Slump Mark,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
151,RibbonHisui	ヒスイリボン,RibbonHisui	히스이리본,RibbonHisui	Hisui,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
152,RibbonTwinklingStar	トゥインクルスターリボン,RibbonTwinklingStar	트윙클스타리본,RibbonTwinklingStar	Twinkling Star,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
