emerald_extension_id,hex,constant,japanese,korean,english,debut_generation,reference_item_id,mainline_trigger,legends_arceus_trigger,type,form,move_boost_percent,notes
404,0x194,ITEM_GROUNDIUM_Z,ジメンＺ,땅Z,Groundium Z,7,784,held_multitype_gen7,not_used,Ground,Ground,0,Judgment remains Normal unless a Plate is held
405,0x195,ITEM_FLYINIUM_Z,ヒコウＺ,비행Z,Flyinium Z,7,785,held_multitype_gen7,not_used,Flying,Flying,0,Judgment remains Normal unless a Plate is held
406,0x196,ITEM_PSYCHIUM_Z,エスパーＺ,에스퍼Z,Psychium Z,7,786,held_multitype_gen7,not_used,Psychic,Psychic,0,Judgment remains Normal unless a Plate is held
407,0x197,ITEM_BUGINIUM_Z,ムシＺ,벌레Z,Buginium Z,7,787,held_multitype_gen7,not_used,Bug,Bug,0,Judgment remains Normal unless a Plate is held
408,0x198,ITEM_ROCKIUM_Z,イワＺ,바위Z,Rockium Z,7,788,held_multitype_gen7,not_used,Rock,Rock,0,Judgment remains Normal unless a Plate is held
409,0x199,ITEM_GHOSTIUM_Z,ゴーストＺ,고스트Z,Ghostium Z,7,789,held_multitype_gen7,not_used,Ghost,Ghost,0,Judgment remains Normal unless a Plate is held
410,0x19A,ITEM_DRAGONIUM_Z,ドラゴンＺ,드래곤Z,Dragonium Z,7,790,held_multitype_gen7,not_used,Dragon,Dragon,0,Judgment remains Normal unless a Plate is held
411,0x19B,ITEM_DARKINIUM_Z,アクＺ,악Z,Darkinium Z,7,791,held_multitype_gen7,not_used,Dark,Dark,0,Judgment remains Normal unless a Plate is held
412,0x19C,ITEM_STEELIUM_Z,ハガネＺ,강철Z,Steelium Z,7,792,held_multitype_gen7,not_used,Steel,Steel,0,Judgment remains Normal unless a Plate is held
413,0x19D,ITEM_FAIRIUM_Z,フェアリーＺ,페어리Z,Fairium Z,7,793,held_multitype_gen7,not_used,Fairy,Fairy,0,Judgment remains Normal unless a Plate is held
