path,root,size,blob_sha,category,action,role,source_commit
PKHeX.Core/Editing/BattleTemplate/Errors/BattleTemplateParseErrorType.cs,PKHeX.Core,2862,a2072f4246c732042786cc24acc1a59da204e840,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/IBattleTemplate.cs,PKHeX.Core,2187,87684f2135db5c6fa7fac910e6cadafec377565b,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/MoveDisplayStyle.cs,PKHeX.Core,437,7e449098fec7b4a58f16232e52ad136e9d336d1f,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/Showdown/BattleTemplateTeams.cs,PKHeX.Core,1630,d60a205b0e5738048158faea74b2fa2ce2ef85f7,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/Showdown/PokepasteTeam.cs,PKHeX.Core,4093,c06bd888bfb6b18fd07093a3b3a68f0732ace207,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/Showdown/ShowdownParsing.cs,PKHeX.Core,19604,0dbe345cef96e554782fd6baf0de201013a8d9de,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/Showdown/ShowdownSet.cs,PKHeX.Core,41624,45eec68cb37ea1fd497adba81a6a27ccf6a9c5a1,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/Showdown/ShowdownTeam.cs,PKHeX.Core,7516,a222ed3427febd1d9cc87bd30a748c285fcfeecc,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/StatDisplayConfig.cs,PKHeX.Core,14257,7aba86e002df156476cd643d7277566eafaeabf2,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/StatDisplayStyle.cs,PKHeX.Core,838,29709657dd31ae3ae2ef877b8d02c0a5fb5e1dae,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/StatParseResult.cs,PKHeX.Core,4629,1ed73e179e85ff4112e56543fb74d957a2667223,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Base/BatchEditingBase.cs,PKHeX.Core,19896,7e99ecf443c1da8ad89de09b6097bb459275543c,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Base/BatchEditingUtil.cs,PKHeX.Core,2039,f180cd700ccedc036a7821b1e0441d0c9c092eda,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Base/IBatchEditor.cs,PKHeX.Core,2133,c143bb51dca95fa5465df9273a98bad2120f9421,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Base/InstructionComparer.cs,PKHeX.Core,2300,f78d230fb3cb77b68925c9f55a84777d59baf910,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Base/InstructionOperation.cs,PKHeX.Core,734,663d98e1ccba074b16a56a98690be2b68ea4f82d,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Base/ModifyResult.cs,PKHeX.Core,629,9aff42b227c45bfcce0fff7e7aa6dce8834f4e47,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Base/StringInstruction.cs,PKHeX.Core,13902,86a3e908cd95759c9c7c1f9bead7ca45bd57ee95,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Base/StringInstructionSet.cs,PKHeX.Core,5034,1ad9f3f46ddd9a0ca3df776eef8c1dc7d8c6df64,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/BatchPropertyProvider.cs,PKHeX.Core,855,01143d05a5559754516c973835927d0eed0dfdcd,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/BatchFilters.cs,PKHeX.Core,2813,3f45d96e070335e84f4b208ef0aa37089a202088,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/BatchInfo.cs,PKHeX.Core,622,0fc45607ff9292f62bf37fe3322daaafbea12022,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/BatchMods.cs,PKHeX.Core,7054,24662d5b4d03e00608c45ac311e0d6b01f48e497,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/ComplexSet/ComplexFilter.cs,PKHeX.Core,587,af9bc410dd57f2c2e7335c7c08f6f9a0657d790e,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/ComplexSet/ComplexSet.cs,PKHeX.Core,821,35b141a671e5b6b33483750fb790411d6a8caab8,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/ComplexSet/IComplexFilter.cs,PKHeX.Core,314,63676f0eaca561c78c3619a78d3adc7b2cf31096,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/ComplexSet/IComplexFilterMeta.cs,PKHeX.Core,262,01037715ebeae4d27b886669b6bd9f022e257e4d,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/ComplexSet/IComplexSet.cs,PKHeX.Core,271,644c55528aaf76eab52314f63fc56a014bcc5b89,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/ComplexSet/MetaFilter.cs,PKHeX.Core,441,e2a4302c2dd0263821d877f8c7f5857b7c244305,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/EntityBatchEditor.cs,PKHeX.Core,11654,248c4d95deb2213b49176e125377e607fa4e682a,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/EntityBatchProcessor.cs,PKHeX.Core,3594,1ae12ba6735dd0f4ce2687c5c752d8b23a23f9bc,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/Suggestion/BatchModifications.cs,PKHeX.Core,7733,2d2dd2eaf47daf940863841c21dff71621b53e26,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/Suggestion/ComplexSuggestion.cs,PKHeX.Core,1110,19ad4909d5b5625027fc9dcea0a130c21e4547a8,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/Suggestion/ISuggestModification.cs,PKHeX.Core,377,3e93626cd0ef02bc770fb8df5e9494d3bfd3b7d8,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/Entity/Suggestion/TypeSuggestion.cs,PKHeX.Core,1161,2a6259534b3820eb1a5ee1f1058b9f2ef02b1da5,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Bulk/IPropertyProvider.cs,PKHeX.Core,763,cbacef440b1f4adcd11fd3dd98fb8bc086d90390,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/CommonEdits.cs,PKHeX.Core,19575,16088a83aff2df8ae79f556d6c1ab173a89af75f,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Database/TrainerDatabase.cs,PKHeX.Core,7053,d0a7a2e87ff107677a5047e1afbc2e0b2756e325,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/HiddenPower.cs,PKHeX.Core,11152,28bbf6dbe29a84b4f77f783e41727a28848e6379,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/IPKMView.cs,PKHeX.Core,1970,b260825284d1997bcd98b8a60566553c38572996,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/IPlugin.cs,PKHeX.Core,1515,33497706e3f060ee142fa748de869b7734e2455b,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/ISaveFileProvider.cs,PKHeX.Core,588,7b177e9313c7868ff7b28f33fc1e4c3d29e41fd9,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/ISpriteBuilder.cs,PKHeX.Core,983,01c283aac2cb79ba4243c5f04c3ba76391ede226,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/LocationEdits.cs,PKHeX.Core,623,474d7e9aa8a8e8cff296827b130ebaab8650707e,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/NatureAmp.cs,PKHeX.Core,7044,c2af8dee1fa5d2e48e0f020c46f4d4df724a1ca8,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/PKM/EntitySuggestionUtil.cs,PKHeX.Core,1562,7771aeb2a68de8b1ffcc671b8873035d7551a474,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/PKM/EntitySummary.cs,PKHeX.Core,6453,d51a423af01e9f514c18d92b03b887135ff65eb8,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/PKM/EntityTemplates.cs,PKHeX.Core,2531,244f93028b915ca5800652bfa1445e0083cc90c6,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/PKM/ILegalMoveDisplaySource.cs,PKHeX.Core,534,2de1a20279bc876c5d75fa6de4cd6e6018e14378,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/PKM/LegalMoveComboSource.cs,PKHeX.Core,1749,866e2d4d1617f7b891f7276f3a3c42723a820c8f,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/PKM/LegalMoveInfo.cs,PKHeX.Core,4468,3994c4dc3a9f4a596bf63c18b77dfe32d5633920,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/PKM/LegalMoveSource.cs,PKHeX.Core,647,f625a66fe3a0be54192123f603b7801c443a1976,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/PKM/QR/QRMessageUtil.cs,PKHeX.Core,5282,e1ca831a340c7e5a69218cf3a70a9e61a07cc5fb,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/PKM/QR/QRPK7.cs,PKHeX.Core,5282,72f254db20a8d6d612b700f23c911a01af6afc64,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/PKM/QR/QRPKM.cs,PKHeX.Core,2347,18352b247f5f286fd277d110b98ab53c79d4a315,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Pokerus.cs,PKHeX.Core,6310,b6b9a71bf1d0d2ba8290a58ece34da4c4e3b5d32,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/PowerPotential.cs,PKHeX.Core,1328,92a83b78bc4750c39ceaf9cd6d595ca92489b5e8,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/IProgramSettings.cs,PKHeX.Core,396,0cf75bb2a388e9098153c212febfb9d31c6edae0,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/IStartupSettings.cs,PKHeX.Core,768,c178b6fda1e22d5e4e9cf03b0eaa89f0f2094cc8,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/SaveFileLoadSetting.cs,PKHeX.Core,535,39035319e363a132224e86e0fb7920024fde0ae3,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/Settings/AdvancedSettings.cs,PKHeX.Core,1315,ec8af7a8c6a8af2679af269a2ac349be2ff83445,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/Settings/BackupSettings.cs,PKHeX.Core,707,4df9693ffda1cc90c4d1c8968ea74bb89c975183,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/Settings/EncounterDatabaseSettings.cs,PKHeX.Core,1186,82daf68576b320c19731a508ed8d62f1ad8dd1c8,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/Settings/EntityConverterSettings.cs,PKHeX.Core,1219,278d88c6fc8b4ef65f2e59c032b5bfc7cbc92260,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/Settings/EntityDatabaseSettings.cs,PKHeX.Core,1355,27609893d46c17ec541a96c964d4b18900c9ee09,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/Settings/EntityEditorSettings.cs,PKHeX.Core,1076,c8119991b12db3ee411b4c90a9256f2dc5a645c7,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/Settings/LocalResourceSettings.cs,PKHeX.Core,2040,aaa00690a7f9b6b38dbe8e73777c88335dc4b3be,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/Settings/MysteryGiftDatabaseSettings.cs,PKHeX.Core,612,4b2df5a0db3595dd0ffd123d9892f06d96a507d9,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/Settings/PrivacySettings.cs,PKHeX.Core,288,cd8afd05ed7e2cb82b8ed143d7cc7aadc5ae9d43,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/Settings/ReportGridSettings.cs,PKHeX.Core,413,42960232b33a12f22de7b10bae4862541f2c6b31,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/Settings/SaveLanguageSettings.cs,PKHeX.Core,1899,d4905125ff6c47da561822aa5832b59e34cec2b1,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/Settings/SetImportSettings.cs,PKHeX.Core,301,b5f3309a3e82be493fd84dab19fa11d8dd4cb2b1,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Program/Settings/SlotWriteSettings.cs,PKHeX.Core,768,a90aa9d042954957e8039870044ce33a4ccf0b10,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
