species_num,species,full_name,form_name,introduced_gen,state_kind,persistence,required_item,required_move,required_ability,required_tera_type,changes_from,battle_only_from,trigger_evidence,reset_evidence,notes
25,Pikachu,Pikachu-Libre,Libre,6,persistent_identity,persistent/derived,,,,,Pikachu-Cosplay,,changesFrom=Pikachu-Cosplay,see generation research / battle-state rules,
25,Pikachu,Pikachu-Cosplay,Cosplay,6,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
26,Raichu,Raichu,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
26,Raichu,Raichu-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
26,Raichu,Raichu-Mega-X,Mega-X,9,battle_transformation,battle/temporary,Raichunite X,,,,,,item=Raichunite X,see generation research / battle-state rules,
26,Raichu,Raichu-Mega-Y,Mega-Y,9,battle_transformation,battle/temporary,Raichunite Y,,,,,,item=Raichunite Y,see generation research / battle-state rules,
27,Sandshrew,Sandshrew,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
27,Sandshrew,Sandshrew-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
28,Sandslash,Sandslash,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
28,Sandslash,Sandslash-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
36,Clefable,Clefable,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
36,Clefable,Clefable-Mega,Mega,9,battle_transformation,battle/temporary,Clefablite,,,,,,item=Clefablite,see generation research / battle-state rules,
37,Vulpix,Vulpix,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
37,Vulpix,Vulpix-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
38,Ninetales,Ninetales,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
38,Ninetales,Ninetales-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
50,Diglett,Diglett,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
50,Diglett,Diglett-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
51,Dugtrio,Dugtrio,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
51,Dugtrio,Dugtrio-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
52,Meowth,Meowth,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
52,Meowth,Meowth-Gmax,Gmax,8,battle_transformation,battle/temporary,,,,,Meowth,,changesFrom=Meowth,see generation research / battle-state rules,
52,Meowth,Meowth-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
52,Meowth,Meowth-Galar,Galar,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
53,Persian,Persian,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
53,Persian,Persian-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
58,Growlithe,Growlithe,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
58,Growlithe,Growlithe-Hisui,Hisui,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
59,Arcanine,Arcanine,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
59,Arcanine,Arcanine-Hisui,Hisui,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
59,Arcanine,Arcanine-Hisui-Lord,Hisuian-Lord,8,scripted_boss_internal_form,context-dependent,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,Pokémon Legends: Arceus Lord/Lady form; not a normal player-owned form.
65,Alakazam,Alakazam,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
65,Alakazam,Alakazam-Mega,Mega,6,battle_transformation,battle/temporary,Alakazite,,,,,,item=Alakazite,see generation research / battle-state rules,
68,Machamp,Machamp,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
68,Machamp,Machamp-Gmax,Gmax,8,battle_transformation,battle/temporary,,,,,Machamp,,changesFrom=Machamp,see generation research / battle-state rules,
71,Victreebel,Victreebel,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
71,Victreebel,Victreebel-Mega,Mega,9,battle_transformation,battle/temporary,Victreebelite,,,,,,item=Victreebelite,see generation research / battle-state rules,
74,Geodude,Geodude,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
74,Geodude,Geodude-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
75,Graveler,Graveler,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
75,Graveler,Graveler-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
76,Golem,Golem,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
76,Golem,Golem-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
77,Ponyta,Ponyta,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
77,Ponyta,Ponyta-Galar,Galar,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
78,Rapidash,Rapidash,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
78,Rapidash,Rapidash-Galar,Galar,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
79,Slowpoke,Slowpoke,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
79,Slowpoke,Slowpoke-Galar,Galar,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
80,Slowbro,Slowbro,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
80,Slowbro,Slowbro-Mega,Mega,6,battle_transformation,battle/temporary,Slowbronite,,,,,,item=Slowbronite,see generation research / battle-state rules,
80,Slowbro,Slowbro-Galar,Galar,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
83,Farfetch\u2019d,Farfetch\u2019d,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
83,Farfetch\u2019d,Farfetch\u2019d-Galar,Galar,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
88,Grimer,Grimer,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
88,Grimer,Grimer-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
89,Muk,Muk,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
89,Muk,Muk-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
94,Gengar,Gengar,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
94,Gengar,Gengar-Gmax,Gmax,8,battle_transformation,battle/temporary,,,,,Gengar,,changesFrom=Gengar,see generation research / battle-state rules,
94,Gengar,Gengar-Mega,Mega,6,battle_transformation,battle/temporary,Gengarite,,,,,,item=Gengarite,see generation research / battle-state rules,
99,Kingler,Kingler,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
99,Kingler,Kingler-Gmax,Gmax,8,battle_transformation,battle/temporary,,,,,Kingler,,changesFrom=Kingler,see generation research / battle-state rules,
100,Voltorb,Voltorb,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
100,Voltorb,Voltorb-Hisui,Hisui,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
101,Electrode,Electrode,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
101,Electrode,Electrode-Hisui,Hisui,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
101,Electrode,Electrode-Hisui-Lord,Hisuian-Lord,8,scripted_boss_internal_form,context-dependent,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,Pokémon Legends: Arceus Lord/Lady form; not a normal player-owned form.
103,Exeggutor,Exeggutor,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
103,Exeggutor,Exeggutor-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
105,Marowak,Marowak,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
105,Marowak,Marowak-Alola,Alola,7,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
105,Marowak,Marowak-Alola-Totem,Alola-Totem,7,hidden_internal_form,context-dependent,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
110,Weezing,Weezing,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
110,Weezing,Weezing-Galar,Galar,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
115,Kangaskhan,Kangaskhan,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
115,Kangaskhan,Kangaskhan-Mega,Mega,6,battle_transformation,battle/temporary,Kangaskhanite,,,,,,item=Kangaskhanite,see generation research / battle-state rules,
121,Starmie,Starmie,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
121,Starmie,Starmie-Mega,Mega,9,battle_transformation,battle/temporary,Starminite,,,,,,item=Starminite,see generation research / battle-state rules,
122,Mr. Mime,Mr. Mime,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
122,Mr. Mime,Mr. Mime-Galar,Galar,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
127,Pinsir,Pinsir,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
127,Pinsir,Pinsir-Mega,Mega,6,battle_transformation,battle/temporary,Pinsirite,,,,,,item=Pinsirite,see generation research / battle-state rules,
128,Tauros,Tauros,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
128,Tauros,Tauros-Paldea-Combat,Paldea-Combat,9,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
128,Tauros,Tauros-Paldea-Blaze,Paldea-Blaze,9,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
128,Tauros,Tauros-Paldea-Aqua,Paldea-Aqua,9,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
130,Gyarados,Gyarados,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
130,Gyarados,Gyarados-Mega,Mega,6,battle_transformation,battle/temporary,Gyaradosite,,,,,,item=Gyaradosite,see generation research / battle-state rules,
131,Lapras,Lapras,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
131,Lapras,Lapras-Gmax,Gmax,8,battle_transformation,battle/temporary,,,,,Lapras,,changesFrom=Lapras,see generation research / battle-state rules,
133,Eevee,Eevee,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
133,Eevee,Eevee-Gmax,Gmax,8,battle_transformation,battle/temporary,,,,,Eevee,,changesFrom=Eevee,see generation research / battle-state rules,
133,Eevee,Eevee-Starter,Starter,1,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
142,Aerodactyl,Aerodactyl,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
142,Aerodactyl,Aerodactyl-Mega,Mega,6,battle_transformation,battle/temporary,Aerodactylite,,,,,,item=Aerodactylite,see generation research / battle-state rules,
143,Snorlax,Snorlax,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
143,Snorlax,Snorlax-Gmax,Gmax,8,battle_transformation,battle/temporary,,,,,Snorlax,,changesFrom=Snorlax,see generation research / battle-state rules,
144,Articuno,Articuno,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
144,Articuno,Articuno-Galar,Galar,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
145,Zapdos,Zapdos,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
145,Zapdos,Zapdos-Galar,Galar,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
146,Moltres,Moltres,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
146,Moltres,Moltres-Galar,Galar,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
149,Dragonite,Dragonite,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
149,Dragonite,Dragonite-Mega,Mega,9,battle_transformation,battle/temporary,Dragoninite,,,,,,item=Dragoninite,see generation research / battle-state rules,
150,Mewtwo,Mewtwo,Base,1,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
150,Mewtwo,Mewtwo-Mega-X,Mega-X,6,battle_transformation,battle/temporary,Mewtwonite X,,,,,,item=Mewtwonite X,see generation research / battle-state rules,
150,Mewtwo,Mewtwo-Mega-Y,Mega-Y,6,battle_transformation,battle/temporary,Mewtwonite Y,,,,,,item=Mewtwonite Y,see generation research / battle-state rules,
154,Meganium,Meganium,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
154,Meganium,Meganium-Mega,Mega,9,battle_transformation,battle/temporary,Meganiumite,,,,,,item=Meganiumite,see generation research / battle-state rules,
157,Typhlosion,Typhlosion,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
157,Typhlosion,Typhlosion-Hisui,Hisui,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
160,Feraligatr,Feraligatr,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
160,Feraligatr,Feraligatr-Mega,Mega,9,battle_transformation,battle/temporary,Feraligite,,,,,,item=Feraligite,see generation research / battle-state rules,
172,Pichu,Pichu,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
172,Pichu,Pichu-Spiky-eared,Spiky-eared,4,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
181,Ampharos,Ampharos,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
181,Ampharos,Ampharos-Mega,Mega,6,battle_transformation,battle/temporary,Ampharosite,,,,,,item=Ampharosite,see generation research / battle-state rules,
194,Wooper,Wooper,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
194,Wooper,Wooper-Paldea,Paldea,9,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
199,Slowking,Slowking,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
199,Slowking,Slowking-Galar,Galar,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
201,Unown,Unown,A,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
201,Unown,Unown-B,B,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-C,C,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-D,D,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-E,E,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-F,F,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-G,G,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-H,H,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-I,I,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-J,J,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-K,K,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-L,L,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-M,M,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-N,N,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-O,O,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-P,P,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-Q,Q,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-R,R,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-S,S,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-T,T,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-U,U,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-V,V,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-W,W,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-X,X,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-Y,Y,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-Z,Z,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-Exclamation,Exclamation,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
201,Unown,Unown-Question,Question,2,cosmetic_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base."
208,Steelix,Steelix,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
208,Steelix,Steelix-Mega,Mega,6,battle_transformation,battle/temporary,Steelixite,,,,,,item=Steelixite,see generation research / battle-state rules,
211,Qwilfish,Qwilfish,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
211,Qwilfish,Qwilfish-Hisui,Hisui,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
212,Scizor,Scizor,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
212,Scizor,Scizor-Mega,Mega,6,battle_transformation,battle/temporary,Scizorite,,,,,,item=Scizorite,see generation research / battle-state rules,
214,Heracross,Heracross,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
214,Heracross,Heracross-Mega,Mega,6,battle_transformation,battle/temporary,Heracronite,,,,,,item=Heracronite,see generation research / battle-state rules,
215,Sneasel,Sneasel,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
215,Sneasel,Sneasel-Hisui,Hisui,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
222,Corsola,Corsola,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
222,Corsola,Corsola-Galar,Galar,8,persistent_identity,persistent/derived,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
227,Skarmory,Skarmory,Base,2,base_form,base,,,,,,,see generation research / internal form rules,see generation research / battle-state rules,
227,Skarmory,Skarmory-Mega,Mega,9,battle_transformation,battle/temporary,Skarmorite,,,,,,item=Skarmorite,see generation research / battle-state rules,
