donor_category,donor_name,source_path,asset_role,reuse_mode,johto_targets,notes
layout,AncientTomb,data/layouts/AncientTomb,"ancient chamber","layout/visual donor","Ruins of Alph chambers","Apply Johto-specific glyph/art overlay."
layout,DesertRuins,data/layouts/DesertRuins,"ancient ruin chamber","layout/visual donor","Ruins of Alph","Puzzle-room grammar."
layout,IslandCave,data/layouts/IslandCave,"ancient cave chamber","layout/visual donor","Ruins of Alph","Additional chamber vocabulary."
secondary,Pacifidlog,data/tilesets/secondary/pacifidlog,"log bridge + directional water-current animation","behavior donor","Whirl Islands; coastal route support","Current/bridge behaviors are useful."
secondary,InsideShip,data/tilesets/secondary/inside_ship,"ship interior","direct structural donor","S.S. Aqua / Fast Ship","Best ship-interior donor."
layout,AbandonedShip,data/layouts/AbandonedShip_Deck,"ship decks/cabins/corridors","layout grammar donor","S.S. Aqua / Fast Ship","Rebuild as passenger ship."
secondary,OceanicMuseum,data/tilesets/secondary/oceanic_museum,"museum/institution interior","structural donor","Olivine Lighthouse support; Radio Tower public floors","Large public-building vocabulary."
layout,AquaHideout,data/layouts/AquaHideout_B1F,"enemy-base multi-floor layout","layout/behavior donor","Team Rocket Base","Security/base grammar."
layout,MagmaHideout,data/layouts/MagmaHideout_1F,"enemy-base/cave hybrid","layout/behavior donor","Team Rocket Base; Mt Mortar support","Switch/warp/base sequencing."
layout,NewMauville,data/layouts/NewMauville_Inside,"industrial/electrical facility","layout/behavior donor","Radio/Magnet Train/Rocket technical rooms","Machinery/electric-gate logic."
secondary,MauvilleGym,data/tilesets/secondary/mauville_gym,"electric-gate animation/behavior","behavior donor","Team Rocket Base barriers; technical rooms","Mechanics donor."
layout,SafariZone,data/layouts/SafariZone_North,"large natural-zone layout","layout grammar donor","National Park; Bug-Catching Contest area","Open-area GBA composition."
