id,diamond_pearl,platinum,heartgold_soulsilver,relationship,note
"24","ITEM_MAX_POTION","ITEM_MAX_POTION","ITEM_MAX_POTION","common",""
"25","ITEM_HYPER_POTION","ITEM_HYPER_POTION","ITEM_HYPER_POTION","common",""
"26","ITEM_SUPER_POTION","ITEM_SUPER_POTION","ITEM_SUPER_POTION","common",""
"27","ITEM_FULL_HEAL","ITEM_FULL_HEAL","ITEM_FULL_HEAL","common",""
"28","ITEM_REVIVE","ITEM_REVIVE","ITEM_REVIVE","common",""
"29","ITEM_MAX_REVIVE","ITEM_MAX_REVIVE","ITEM_MAX_REVIVE","common",""
"30","ITEM_FRESH_WATER","ITEM_FRESH_WATER","ITEM_FRESH_WATER","common",""
"31","ITEM_SODA_POP","ITEM_SODA_POP","ITEM_SODA_POP","common",""
"32","ITEM_LEMONADE","ITEM_LEMONADE","ITEM_LEMONADE","common",""
"33","ITEM_MOOMOO_MILK","ITEM_MOOMOO_MILK","ITEM_MOOMOO_MILK","common",""
"34","ITEM_ENERGYPOWDER","ITEM_ENERGYPOWDER","ITEM_ENERGYPOWDER","common",""
"35","ITEM_ENERGY_ROOT","ITEM_ENERGY_ROOT","ITEM_ENERGY_ROOT","common",""
"36","ITEM_HEAL_POWDER","ITEM_HEAL_POWDER","ITEM_HEAL_POWDER","common",""
"37","ITEM_REVIVAL_HERB","ITEM_REVIVAL_HERB","ITEM_REVIVAL_HERB","common",""
"38","ITEM_ETHER","ITEM_ETHER","ITEM_ETHER","common",""
"39","ITEM_MAX_ETHER","ITEM_MAX_ETHER","ITEM_MAX_ETHER","common",""
"40","ITEM_ELIXIR","ITEM_ELIXIR","ITEM_ELIXIR","common",""
"41","ITEM_MAX_ELIXIR","ITEM_MAX_ELIXIR","ITEM_MAX_ELIXIR","common",""
"42","ITEM_LAVA_COOKIE","ITEM_LAVA_COOKIE","ITEM_LAVA_COOKIE","common",""
"43","ITEM_BERRY_JUICE","ITEM_BERRY_JUICE","ITEM_BERRY_JUICE","common",""
"44","ITEM_SACRED_ASH","ITEM_SACRED_ASH","ITEM_SACRED_ASH","common",""
"45","ITEM_HP_UP","ITEM_HP_UP","ITEM_HP_UP","common",""
"46","ITEM_PROTEIN","ITEM_PROTEIN","ITEM_PROTEIN","common",""
"47","ITEM_IRON","ITEM_IRON","ITEM_IRON","common",""
"48","ITEM_CARBOS","ITEM_CARBOS","ITEM_CARBOS","common",""
"49","ITEM_CALCIUM","ITEM_CALCIUM","ITEM_CALCIUM","common",""
"50","ITEM_RARE_CANDY","ITEM_RARE_CANDY","ITEM_RARE_CANDY","common",""
"51","ITEM_PP_UP","ITEM_PP_UP","ITEM_PP_UP","common",""
"52","ITEM_ZINC","ITEM_ZINC","ITEM_ZINC","common",""
"53","ITEM_PP_MAX","ITEM_PP_MAX","ITEM_PP_MAX","common",""
"54","ITEM_OLD_GATEAU","ITEM_OLD_GATEAU","ITEM_OLD_GATEAU","common",""
"55","ITEM_GUARD_SPEC_","ITEM_GUARD_SPEC","ITEM_GUARD_SPEC_","common","symbol spelling differs only"
"56","ITEM_DIRE_HIT","ITEM_DIRE_HIT","ITEM_DIRE_HIT","common",""
"57","ITEM_X_ATTACK","ITEM_X_ATTACK","ITEM_X_ATTACK","common",""
"58","ITEM_X_DEFENSE","ITEM_X_DEFENSE","ITEM_X_DEFENSE","common",""
"59","ITEM_X_SPEED","ITEM_X_SPEED","ITEM_X_SPEED","common",""
"60","ITEM_X_ACCURACY","ITEM_X_ACCURACY","ITEM_X_ACCURACY","common",""
"61","ITEM_X_SPECIAL","ITEM_X_SPECIAL","ITEM_X_SPECIAL","common",""
"62","ITEM_X_SP__DEF","ITEM_X_SP_DEF","ITEM_X_SP__DEF","common","symbol spelling differs only"
"63","ITEM_POKE_DOLL","ITEM_POKE_DOLL","ITEM_POKE_DOLL","common",""
"64","ITEM_FLUFFY_TAIL","ITEM_FLUFFY_TAIL","ITEM_FLUFFY_TAIL","common",""
"65","ITEM_BLUE_FLUTE","ITEM_BLUE_FLUTE","ITEM_BLUE_FLUTE","common",""
"66","ITEM_YELLOW_FLUTE","ITEM_YELLOW_FLUTE","ITEM_YELLOW_FLUTE","common",""
"67","ITEM_RED_FLUTE","ITEM_RED_FLUTE","ITEM_RED_FLUTE","common",""
"68","ITEM_BLACK_FLUTE","ITEM_BLACK_FLUTE","ITEM_BLACK_FLUTE","common",""
"69","ITEM_WHITE_FLUTE","ITEM_WHITE_FLUTE","ITEM_WHITE_FLUTE","common",""
"70","ITEM_SHOAL_SALT","ITEM_SHOAL_SALT","ITEM_SHOAL_SALT","common",""
"71","ITEM_SHOAL_SHELL","ITEM_SHOAL_SHELL","ITEM_SHOAL_SHELL","common",""
"72","ITEM_RED_SHARD","ITEM_RED_SHARD","ITEM_RED_SHARD","common",""
"73","ITEM_BLUE_SHARD","ITEM_BLUE_SHARD","ITEM_BLUE_SHARD","common",""
"74","ITEM_YELLOW_SHARD","ITEM_YELLOW_SHARD","ITEM_YELLOW_SHARD","common",""
"75","ITEM_GREEN_SHARD","ITEM_GREEN_SHARD","ITEM_GREEN_SHARD","common",""
"76","ITEM_SUPER_REPEL","ITEM_SUPER_REPEL","ITEM_SUPER_REPEL","common",""
"77","ITEM_MAX_REPEL","ITEM_MAX_REPEL","ITEM_MAX_REPEL","common",""
"78","ITEM_ESCAPE_ROPE","ITEM_ESCAPE_ROPE","ITEM_ESCAPE_ROPE","common",""
"79","ITEM_REPEL","ITEM_REPEL","ITEM_REPEL","common",""
"80","ITEM_SUN_STONE","ITEM_SUN_STONE","ITEM_SUN_STONE","common",""
"81","ITEM_MOON_STONE","ITEM_MOON_STONE","ITEM_MOON_STONE","common",""
"82","ITEM_FIRE_STONE","ITEM_FIRE_STONE","ITEM_FIRE_STONE","common",""
"83","ITEM_THUNDERSTONE","ITEM_THUNDERSTONE","ITEM_THUNDERSTONE","common",""
"84","ITEM_WATER_STONE","ITEM_WATER_STONE","ITEM_WATER_STONE","common",""
"85","ITEM_LEAF_STONE","ITEM_LEAF_STONE","ITEM_LEAF_STONE","common",""
"86","ITEM_TINYMUSHROOM","ITEM_TINYMUSHROOM","ITEM_TINYMUSHROOM","common",""
"87","ITEM_BIG_MUSHROOM","ITEM_BIG_MUSHROOM","ITEM_BIG_MUSHROOM","common",""
"88","ITEM_PEARL","ITEM_PEARL","ITEM_PEARL","common",""
"89","ITEM_BIG_PEARL","ITEM_BIG_PEARL","ITEM_BIG_PEARL","common",""
"90","ITEM_STARDUST","ITEM_STARDUST","ITEM_STARDUST","common",""
"91","ITEM_STAR_PIECE","ITEM_STAR_PIECE","ITEM_STAR_PIECE","common",""
"92","ITEM_NUGGET","ITEM_NUGGET","ITEM_NUGGET","common",""
"93","ITEM_HEART_SCALE","ITEM_HEART_SCALE","ITEM_HEART_SCALE","common",""
"94","ITEM_HONEY","ITEM_HONEY","ITEM_HONEY","common",""
"95","ITEM_GROWTH_MULCH","ITEM_GROWTH_MULCH","ITEM_GROWTH_MULCH","common",""
"96","ITEM_DAMP_MULCH","ITEM_DAMP_MULCH","ITEM_DAMP_MULCH","common",""
"97","ITEM_STABLE_MULCH","ITEM_STABLE_MULCH","ITEM_STABLE_MULCH","common",""
"98","ITEM_GOOEY_MULCH","ITEM_GOOEY_MULCH","ITEM_GOOEY_MULCH","common",""
"99","ITEM_ROOT_FOSSIL","ITEM_ROOT_FOSSIL","ITEM_ROOT_FOSSIL","common",""
"100","ITEM_CLAW_FOSSIL","ITEM_CLAW_FOSSIL","ITEM_CLAW_FOSSIL","common",""
"101","ITEM_HELIX_FOSSIL","ITEM_HELIX_FOSSIL","ITEM_HELIX_FOSSIL","common",""
"102","ITEM_DOME_FOSSIL","ITEM_DOME_FOSSIL","ITEM_DOME_FOSSIL","common",""
"103","ITEM_OLD_AMBER","ITEM_OLD_AMBER","ITEM_OLD_AMBER","common",""
"104","ITEM_ARMOR_FOSSIL","ITEM_ARMOR_FOSSIL","ITEM_ARMOR_FOSSIL","common",""
"105","ITEM_SKULL_FOSSIL","ITEM_SKULL_FOSSIL","ITEM_SKULL_FOSSIL","common",""
"106","ITEM_RARE_BONE","ITEM_RARE_BONE","ITEM_RARE_BONE","common",""
"107","ITEM_SHINY_STONE","ITEM_SHINY_STONE","ITEM_SHINY_STONE","common",""
"108","ITEM_DUSK_STONE","ITEM_DUSK_STONE","ITEM_DUSK_STONE","common",""
"109","ITEM_DAWN_STONE","ITEM_DAWN_STONE","ITEM_DAWN_STONE","common",""
"110","ITEM_OVAL_STONE","ITEM_OVAL_STONE","ITEM_OVAL_STONE","common",""
"111","ITEM_ODD_KEYSTONE","ITEM_ODD_KEYSTONE","ITEM_ODD_KEYSTONE","common",""
"112","","ITEM_GRISEOUS_ORB","ITEM_GRISEOUS_ORB","pt_hgss","Platinum/HGSS use DP-reserved slot for Griseous Orb"
"113","","ITEM_UNUSED_113","ITEM_UNUSED_113","pt_hgss","DP has no named constant at this ID"
"114","","ITEM_UNUSED_114","ITEM_UNUSED_114","pt_hgss","DP has no named constant at this ID"
"115","","ITEM_UNUSED_115","ITEM_UNUSED_115","pt_hgss","DP has no named constant at this ID"
"116","","ITEM_UNUSED_116","ITEM_UNUSED_116","pt_hgss","DP has no named constant at this ID"
"117","","ITEM_UNUSED_117","ITEM_UNUSED_117","pt_hgss","DP has no named constant at this ID"
"118","","ITEM_UNUSED_118","ITEM_UNUSED_118","pt_hgss","DP has no named constant at this ID"
"119","","ITEM_UNUSED_119","ITEM_UNUSED_119","pt_hgss","DP has no named constant at this ID"
"120","","ITEM_UNUSED_120","ITEM_UNUSED_120","pt_hgss","DP has no named constant at this ID"
"121","","ITEM_UNUSED_121","ITEM_UNUSED_121","pt_hgss","DP has no named constant at this ID"
"122","","ITEM_UNUSED_122","ITEM_UNUSED_122","pt_hgss","DP has no named constant at this ID"
"123","","ITEM_UNUSED_123","ITEM_UNUSED_123","pt_hgss","DP has no named constant at this ID"
"124","","ITEM_UNUSED_124","ITEM_UNUSED_124","pt_hgss","DP has no named constant at this ID"
"125","","ITEM_UNUSED_125","ITEM_UNUSED_125","pt_hgss","DP has no named constant at this ID"
"126","","ITEM_UNUSED_126","ITEM_UNUSED_126","pt_hgss","DP has no named constant at this ID"
"127","","ITEM_UNUSED_127","ITEM_UNUSED_127","pt_hgss","DP has no named constant at this ID"
"128","","ITEM_UNUSED_128","ITEM_UNUSED_128","pt_hgss","DP has no named constant at this ID"
"129","","ITEM_UNUSED_129","ITEM_UNUSED_129","pt_hgss","DP has no named constant at this ID"
"130","","ITEM_UNUSED_130","ITEM_UNUSED_130","pt_hgss","DP has no named constant at this ID"
"131","","ITEM_UNUSED_131","ITEM_UNUSED_131","pt_hgss","DP has no named constant at this ID"
"132","","ITEM_UNUSED_132","ITEM_UNUSED_132","pt_hgss","DP has no named constant at this ID"
"133","","ITEM_UNUSED_133","ITEM_UNUSED_133","pt_hgss","DP has no named constant at this ID"
"134","","ITEM_UNUSED_134","ITEM_UNUSED_134","pt_hgss","DP has no named constant at this ID"
"135","ITEM_ADAMANT_ORB","ITEM_ADAMANT_ORB","ITEM_ADAMANT_ORB","common",""
"136","ITEM_LUSTROUS_ORB","ITEM_LUSTROUS_ORB","ITEM_LUSTROUS_ORB","common",""
"137","ITEM_GRASS_MAIL","ITEM_GRASS_MAIL","ITEM_GRASS_MAIL","common",""
"138","ITEM_FLAME_MAIL","ITEM_FLAME_MAIL","ITEM_FLAME_MAIL","common",""
"139","ITEM_BUBBLE_MAIL","ITEM_BUBBLE_MAIL","ITEM_BUBBLE_MAIL","common",""
"140","ITEM_BLOOM_MAIL","ITEM_BLOOM_MAIL","ITEM_BLOOM_MAIL","common",""
"141","ITEM_TUNNEL_MAIL","ITEM_TUNNEL_MAIL","ITEM_TUNNEL_MAIL","common",""
"142","ITEM_STEEL_MAIL","ITEM_STEEL_MAIL","ITEM_STEEL_MAIL","common",""
"143","ITEM_HEART_MAIL","ITEM_HEART_MAIL","ITEM_HEART_MAIL","common",""
"144","ITEM_SNOW_MAIL","ITEM_SNOW_MAIL","ITEM_SNOW_MAIL","common",""
"145","ITEM_SPACE_MAIL","ITEM_SPACE_MAIL","ITEM_SPACE_MAIL","common",""
"146","ITEM_AIR_MAIL","ITEM_AIR_MAIL","ITEM_AIR_MAIL","common",""
"147","ITEM_MOSAIC_MAIL","ITEM_MOSAIC_MAIL","ITEM_MOSAIC_MAIL","common",""
"148","ITEM_BRICK_MAIL","ITEM_BRICK_MAIL","ITEM_BRICK_MAIL","common",""
"149","ITEM_CHERI_BERRY","ITEM_CHERI_BERRY","ITEM_CHERI_BERRY","common",""
"150","ITEM_CHESTO_BERRY","ITEM_CHESTO_BERRY","ITEM_CHESTO_BERRY","common",""
"151","ITEM_PECHA_BERRY","ITEM_PECHA_BERRY","ITEM_PECHA_BERRY","common",""
"152","ITEM_RAWST_BERRY","ITEM_RAWST_BERRY","ITEM_RAWST_BERRY","common",""
"153","ITEM_ASPEAR_BERRY","ITEM_ASPEAR_BERRY","ITEM_ASPEAR_BERRY","common",""
"154","ITEM_LEPPA_BERRY","ITEM_LEPPA_BERRY","ITEM_LEPPA_BERRY","common",""
"155","ITEM_ORAN_BERRY","ITEM_ORAN_BERRY","ITEM_ORAN_BERRY","common",""
"156","ITEM_PERSIM_BERRY","ITEM_PERSIM_BERRY","ITEM_PERSIM_BERRY","common",""
"157","ITEM_LUM_BERRY","ITEM_LUM_BERRY","ITEM_LUM_BERRY","common",""
"158","ITEM_SITRUS_BERRY","ITEM_SITRUS_BERRY","ITEM_SITRUS_BERRY","common",""
"159","ITEM_FIGY_BERRY","ITEM_FIGY_BERRY","ITEM_FIGY_BERRY","common",""
"160","ITEM_WIKI_BERRY","ITEM_WIKI_BERRY","ITEM_WIKI_BERRY","common",""
"161","ITEM_MAGO_BERRY","ITEM_MAGO_BERRY","ITEM_MAGO_BERRY","common",""
"162","ITEM_AGUAV_BERRY","ITEM_AGUAV_BERRY","ITEM_AGUAV_BERRY","common",""
"163","ITEM_IAPAPA_BERRY","ITEM_IAPAPA_BERRY","ITEM_IAPAPA_BERRY","common",""
"164","ITEM_RAZZ_BERRY","ITEM_RAZZ_BERRY","ITEM_RAZZ_BERRY","common",""
"165","ITEM_BLUK_BERRY","ITEM_BLUK_BERRY","ITEM_BLUK_BERRY","common",""
"166","ITEM_NANAB_BERRY","ITEM_NANAB_BERRY","ITEM_NANAB_BERRY","common",""
"167","ITEM_WEPEAR_BERRY","ITEM_WEPEAR_BERRY","ITEM_WEPEAR_BERRY","common",""
"168","ITEM_PINAP_BERRY","ITEM_PINAP_BERRY","ITEM_PINAP_BERRY","common",""
"169","ITEM_POMEG_BERRY","ITEM_POMEG_BERRY","ITEM_POMEG_BERRY","common",""
"170","ITEM_KELPSY_BERRY","ITEM_KELPSY_BERRY","ITEM_KELPSY_BERRY","common",""
"171","ITEM_QUALOT_BERRY","ITEM_QUALOT_BERRY","ITEM_QUALOT_BERRY","common",""
"172","ITEM_HONDEW_BERRY","ITEM_HONDEW_BERRY","ITEM_HONDEW_BERRY","common",""
"173","ITEM_GREPA_BERRY","ITEM_GREPA_BERRY","ITEM_GREPA_BERRY","common",""
"174","ITEM_TAMATO_BERRY","ITEM_TAMATO_BERRY","ITEM_TAMATO_BERRY","common",""
"175","ITEM_CORNN_BERRY","ITEM_CORNN_BERRY","ITEM_CORNN_BERRY","common",""
"176","ITEM_MAGOST_BERRY","ITEM_MAGOST_BERRY","ITEM_MAGOST_BERRY","common",""
"177","ITEM_RABUTA_BERRY","ITEM_RABUTA_BERRY","ITEM_RABUTA_BERRY","common",""
"178","ITEM_NOMEL_BERRY","ITEM_NOMEL_BERRY","ITEM_NOMEL_BERRY","common",""
"179","ITEM_SPELON_BERRY","ITEM_SPELON_BERRY","ITEM_SPELON_BERRY","common",""
"180","ITEM_PAMTRE_BERRY","ITEM_PAMTRE_BERRY","ITEM_PAMTRE_BERRY","common",""
"181","ITEM_WATMEL_BERRY","ITEM_WATMEL_BERRY","ITEM_WATMEL_BERRY","common",""
"182","ITEM_DURIN_BERRY","ITEM_DURIN_BERRY","ITEM_DURIN_BERRY","common",""
"183","ITEM_BELUE_BERRY","ITEM_BELUE_BERRY","ITEM_BELUE_BERRY","common",""
"184","ITEM_OCCA_BERRY","ITEM_OCCA_BERRY","ITEM_OCCA_BERRY","common",""
"185","ITEM_PASSHO_BERRY","ITEM_PASSHO_BERRY","ITEM_PASSHO_BERRY","common",""
"186","ITEM_WACAN_BERRY","ITEM_WACAN_BERRY","ITEM_WACAN_BERRY","common",""
"187","ITEM_RINDO_BERRY","ITEM_RINDO_BERRY","ITEM_RINDO_BERRY","common",""
"188","ITEM_YACHE_BERRY","ITEM_YACHE_BERRY","ITEM_YACHE_BERRY","common",""
"189","ITEM_CHOPLE_BERRY","ITEM_CHOPLE_BERRY","ITEM_CHOPLE_BERRY","common",""
"190","ITEM_KEBIA_BERRY","ITEM_KEBIA_BERRY","ITEM_KEBIA_BERRY","common",""
"191","ITEM_SHUCA_BERRY","ITEM_SHUCA_BERRY","ITEM_SHUCA_BERRY","common",""
"192","ITEM_COBA_BERRY","ITEM_COBA_BERRY","ITEM_COBA_BERRY","common",""
"193","ITEM_PAYAPA_BERRY","ITEM_PAYAPA_BERRY","ITEM_PAYAPA_BERRY","common",""
"194","ITEM_TANGA_BERRY","ITEM_TANGA_BERRY","ITEM_TANGA_BERRY","common",""
"195","ITEM_CHARTI_BERRY","ITEM_CHARTI_BERRY","ITEM_CHARTI_BERRY","common",""
"196","ITEM_KASIB_BERRY","ITEM_KASIB_BERRY","ITEM_KASIB_BERRY","common",""
"197","ITEM_HABAN_BERRY","ITEM_HABAN_BERRY","ITEM_HABAN_BERRY","common",""
"198","ITEM_COLBUR_BERRY","ITEM_COLBUR_BERRY","ITEM_COLBUR_BERRY","common",""
"199","ITEM_BABIRI_BERRY","ITEM_BABIRI_BERRY","ITEM_BABIRI_BERRY","common",""
"200","ITEM_CHILAN_BERRY","ITEM_CHILAN_BERRY","ITEM_CHILAN_BERRY","common",""
"201","ITEM_LIECHI_BERRY","ITEM_LIECHI_BERRY","ITEM_LIECHI_BERRY","common",""
"202","ITEM_GANLON_BERRY","ITEM_GANLON_BERRY","ITEM_GANLON_BERRY","common",""
"203","ITEM_SALAC_BERRY","ITEM_SALAC_BERRY","ITEM_SALAC_BERRY","common",""
"204","ITEM_PETAYA_BERRY","ITEM_PETAYA_BERRY","ITEM_PETAYA_BERRY","common",""
"205","ITEM_APICOT_BERRY","ITEM_APICOT_BERRY","ITEM_APICOT_BERRY","common",""
"206","ITEM_LANSAT_BERRY","ITEM_LANSAT_BERRY","ITEM_LANSAT_BERRY","common",""
"207","ITEM_STARF_BERRY","ITEM_STARF_BERRY","ITEM_STARF_BERRY","common",""
"208","ITEM_ENIGMA_BERRY","ITEM_ENIGMA_BERRY","ITEM_ENIGMA_BERRY","common",""
"209","ITEM_MICLE_BERRY","ITEM_MICLE_BERRY","ITEM_MICLE_BERRY","common",""
"210","ITEM_CUSTAP_BERRY","ITEM_CUSTAP_BERRY","ITEM_CUSTAP_BERRY","common",""
"211","ITEM_JABOCA_BERRY","ITEM_JABOCA_BERRY","ITEM_JABOCA_BERRY","common",""
"212","ITEM_ROWAP_BERRY","ITEM_ROWAP_BERRY","ITEM_ROWAP_BERRY","common",""
"213","ITEM_BRIGHTPOWDER","ITEM_BRIGHTPOWDER","ITEM_BRIGHTPOWDER","common",""
"214","ITEM_WHITE_HERB","ITEM_WHITE_HERB","ITEM_WHITE_HERB","common",""
"215","ITEM_MACHO_BRACE","ITEM_MACHO_BRACE","ITEM_MACHO_BRACE","common",""
"216","ITEM_EXP__SHARE","ITEM_EXP_SHARE","ITEM_EXP__SHARE","common","symbol spelling differs only"
"217","ITEM_QUICK_CLAW","ITEM_QUICK_CLAW","ITEM_QUICK_CLAW","common",""
"218","ITEM_SOOTHE_BELL","ITEM_SOOTHE_BELL","ITEM_SOOTHE_BELL","common",""
"219","ITEM_MENTAL_HERB","ITEM_MENTAL_HERB","ITEM_MENTAL_HERB","common",""
"220","ITEM_CHOICE_BAND","ITEM_CHOICE_BAND","ITEM_CHOICE_BAND","common",""
"221","ITEM_KINGS_ROCK","ITEM_KINGS_ROCK","ITEM_KINGS_ROCK","common",""
"222","ITEM_SILVERPOWDER","ITEM_SILVERPOWDER","ITEM_SILVERPOWDER","common",""
"223","ITEM_AMULET_COIN","ITEM_AMULET_COIN","ITEM_AMULET_COIN","common",""
"224","ITEM_CLEANSE_TAG","ITEM_CLEANSE_TAG","ITEM_CLEANSE_TAG","common",""
"225","ITEM_SOUL_DEW","ITEM_SOUL_DEW","ITEM_SOUL_DEW","common",""
"226","ITEM_DEEPSEATOOTH","ITEM_DEEPSEATOOTH","ITEM_DEEPSEATOOTH","common",""
"227","ITEM_DEEPSEASCALE","ITEM_DEEPSEASCALE","ITEM_DEEPSEASCALE","common",""
"228","ITEM_SMOKE_BALL","ITEM_SMOKE_BALL","ITEM_SMOKE_BALL","common",""
"229","ITEM_EVERSTONE","ITEM_EVERSTONE","ITEM_EVERSTONE","common",""
"230","ITEM_FOCUS_BAND","ITEM_FOCUS_BAND","ITEM_FOCUS_BAND","common",""
"231","ITEM_LUCKY_EGG","ITEM_LUCKY_EGG","ITEM_LUCKY_EGG","common",""
"232","ITEM_SCOPE_LENS","ITEM_SCOPE_LENS","ITEM_SCOPE_LENS","common",""
"233","ITEM_METAL_COAT","ITEM_METAL_COAT","ITEM_METAL_COAT","common",""
"234","ITEM_LEFTOVERS","ITEM_LEFTOVERS","ITEM_LEFTOVERS","common",""
"235","ITEM_DRAGON_SCALE","ITEM_DRAGON_SCALE","ITEM_DRAGON_SCALE","common",""
"236","ITEM_LIGHT_BALL","ITEM_LIGHT_BALL","ITEM_LIGHT_BALL","common",""
"237","ITEM_SOFT_SAND","ITEM_SOFT_SAND","ITEM_SOFT_SAND","common",""
"238","ITEM_HARD_STONE","ITEM_HARD_STONE","ITEM_HARD_STONE","common",""
"239","ITEM_MIRACLE_SEED","ITEM_MIRACLE_SEED","ITEM_MIRACLE_SEED","common",""
"240","ITEM_BLACKGLASSES","ITEM_BLACKGLASSES","ITEM_BLACKGLASSES","common",""
"241","ITEM_BLACK_BELT","ITEM_BLACK_BELT","ITEM_BLACK_BELT","common",""
"242","ITEM_MAGNET","ITEM_MAGNET","ITEM_MAGNET","common",""
"243","ITEM_MYSTIC_WATER","ITEM_MYSTIC_WATER","ITEM_MYSTIC_WATER","common",""
"244","ITEM_SHARP_BEAK","ITEM_SHARP_BEAK","ITEM_SHARP_BEAK","common",""
"245","ITEM_POISON_BARB","ITEM_POISON_BARB","ITEM_POISON_BARB","common",""
"246","ITEM_NEVERMELTICE","ITEM_NEVERMELTICE","ITEM_NEVERMELTICE","common",""
"247","ITEM_SPELL_TAG","ITEM_SPELL_TAG","ITEM_SPELL_TAG","common",""
"248","ITEM_TWISTEDSPOON","ITEM_TWISTEDSPOON","ITEM_TWISTEDSPOON","common",""
"249","ITEM_CHARCOAL","ITEM_CHARCOAL","ITEM_CHARCOAL","common",""
"250","ITEM_DRAGON_FANG","ITEM_DRAGON_FANG","ITEM_DRAGON_FANG","common",""
"251","ITEM_SILK_SCARF","ITEM_SILK_SCARF","ITEM_SILK_SCARF","common",""
"252","ITEM_UPGRADE","ITEM_UPGRADE","ITEM_UPGRADE","common",""
"253","ITEM_SHELL_BELL","ITEM_SHELL_BELL","ITEM_SHELL_BELL","common",""
"254","ITEM_SEA_INCENSE","ITEM_SEA_INCENSE","ITEM_SEA_INCENSE","common",""
"255","ITEM_LAX_INCENSE","ITEM_LAX_INCENSE","ITEM_LAX_INCENSE","common",""
"256","ITEM_LUCKY_PUNCH","ITEM_LUCKY_PUNCH","ITEM_LUCKY_PUNCH","common",""
"257","ITEM_METAL_POWDER","ITEM_METAL_POWDER","ITEM_METAL_POWDER","common",""
"258","ITEM_THICK_CLUB","ITEM_THICK_CLUB","ITEM_THICK_CLUB","common",""
"259","ITEM_STICK","ITEM_STICK","ITEM_STICK","common",""
"260","ITEM_RED_SCARF","ITEM_RED_SCARF","ITEM_RED_SCARF","common",""
"261","ITEM_BLUE_SCARF","ITEM_BLUE_SCARF","ITEM_BLUE_SCARF","common",""
"262","ITEM_PINK_SCARF","ITEM_PINK_SCARF","ITEM_PINK_SCARF","common",""
"263","ITEM_GREEN_SCARF","ITEM_GREEN_SCARF","ITEM_GREEN_SCARF","common",""
"264","ITEM_YELLOW_SCARF","ITEM_YELLOW_SCARF","ITEM_YELLOW_SCARF","common",""
"265","ITEM_WIDE_LENS","ITEM_WIDE_LENS","ITEM_WIDE_LENS","common",""
"266","ITEM_MUSCLE_BAND","ITEM_MUSCLE_BAND","ITEM_MUSCLE_BAND","common",""
"267","ITEM_WISE_GLASSES","ITEM_WISE_GLASSES","ITEM_WISE_GLASSES","common",""
"268","ITEM_EXPERT_BELT","ITEM_EXPERT_BELT","ITEM_EXPERT_BELT","common",""
"269","ITEM_LIGHT_CLAY","ITEM_LIGHT_CLAY","ITEM_LIGHT_CLAY","common",""
"270","ITEM_LIFE_ORB","ITEM_LIFE_ORB","ITEM_LIFE_ORB","common",""
"271","ITEM_POWER_HERB","ITEM_POWER_HERB","ITEM_POWER_HERB","common",""
"272","ITEM_TOXIC_ORB","ITEM_TOXIC_ORB","ITEM_TOXIC_ORB","common",""
