species_num,species,species_ja,species_ko,full_name,form_name,form_index,form_index_basis,introduced_gen,state_kind,battle_only,cosmetic,type1,type2,hp,atk,def,spe,spa,spd,abilities,required_item,required_move,required_ability,required_tera_type,changes_from,battle_only_from,nonstandard,source,notes,form_argument,form_argument_basis,verification_status
-5009,Pokestar F-00,,,Pokestar F-00,Base,0,base_default,5,base_form,no,no,Steel,Normal,100,100,100,100,100,100,Volt Absorb,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5009,Pokestar F-00,,,Pokestar F-00-Prop,Prop,,unresolved,5,cosmetic_identity,no,yes,Steel,Normal,100,100,100,100,100,100,Volt Absorb,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5008,Pokestar Monster,,,Pokestar Monster,Base,0,base_default,5,base_form,no,no,Dark,,100,100,100,100,100,100,Pressure,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5008,Pokestar Monster,,,Pokestar Monster-Prop,Prop,,unresolved,5,cosmetic_identity,no,yes,Dark,,100,100,100,100,100,100,Pressure,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5007,Pokestar Humanoid,,,Pokestar Humanoid,Base,0,base_default,5,base_form,no,no,Normal,,100,100,100,100,100,100,Insomnia,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5007,Pokestar Humanoid,,,Pokestar Humanoid-Prop,Prop,,unresolved,5,cosmetic_identity,no,yes,Normal,,100,100,100,100,100,100,Insomnia,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5006,Pokestar Giant,,,Pokestar Giant,Base,0,base_default,5,base_form,no,no,Normal,,100,100,100,100,100,100,Huge Power,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5006,Pokestar Giant,,,Pokestar Giant-2,2,,unresolved,5,cosmetic_identity,no,yes,Normal,,100,100,100,100,100,100,Huge Power,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5006,Pokestar Giant,,,Pokestar Giant-PropO1,PropO1,,unresolved,5,cosmetic_identity,no,yes,Normal,,100,100,100,100,100,100,Huge Power,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5006,Pokestar Giant,,,Pokestar Giant-PropO2,PropO2,,unresolved,5,cosmetic_identity,no,yes,Normal,,100,100,100,100,100,100,Huge Power,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5005,Pokestar Transport,,,Pokestar Transport,Base,0,base_default,5,base_form,no,no,Steel,,100,100,100,100,100,100,Motor Drive,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5005,Pokestar Transport,,,Pokestar Transport-Prop,Prop,,unresolved,5,cosmetic_identity,no,yes,Steel,,100,100,100,100,100,100,Motor Drive,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5004,Pokestar MT2,,,Pokestar MT2,Base,0,base_default,5,base_form,no,no,Steel,Electric,100,100,100,100,100,100,Flash Fire,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5004,Pokestar MT2,,,Pokestar MT2-Prop,Prop,,unresolved,5,cosmetic_identity,no,yes,Steel,Electric,100,100,100,100,100,100,Flash Fire,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5003,Pokestar MT,,,Pokestar MT,Base,0,base_default,5,base_form,no,no,Steel,,100,100,100,100,100,100,Analytic,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5003,Pokestar MT,,,Pokestar MT-Prop,Prop,,unresolved,5,cosmetic_identity,no,yes,Steel,,100,100,100,100,100,100,Analytic,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5002,Pokestar Brycen-Man,,,Pokestar Brycen-Man,Base,0,base_default,5,base_form,no,no,Dark,Psychic,100,100,100,100,100,100,Levitate,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5002,Pokestar Brycen-Man,,,Pokestar Brycen-Man-Prop,Prop,,unresolved,5,cosmetic_identity,no,yes,Dark,Psychic,100,100,100,100,100,100,Levitate,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5001,Pokestar UFO,,,Pokestar UFO,Base,0,base_default,5,base_form,no,no,Flying,Electric,100,100,100,100,100,100,Levitate,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5001,Pokestar UFO,,,Pokestar UFO-2,2,,unresolved,5,persistent_identity,no,no,Psychic,Electric,100,100,100,100,100,100,Levitate,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-5001,Pokestar UFO,,,Pokestar UFO-PropU1,PropU1,,unresolved,5,cosmetic_identity,no,yes,Flying,Electric,100,100,100,100,100,100,Levitate,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,"Referenced by Showdown base-form list; no standalone block, parameters inherited from base.",,,excluded_nonpokemon_actor
-5001,Pokestar UFO,,,Pokestar UFO-PropU2,PropU2,,unresolved,5,persistent_identity,no,no,Psychic,Electric,100,100,100,100,100,100,Levitate,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-78,Ramnarok,,,Ramnarok,Dormant,0,showdown_formeOrder,9,base_form,no,no,Fire,Steel,110,56,104,85,111,134,No Guard,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-78,Ramnarok,,,Ramnarok-Radiant,Radiant,1,showdown_formeOrder,9,battle_only_form,yes,no,Fire,Ice,110,56,85,154,141,54,No Guard,,Polar Flare,,,,Ramnarok,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-66,Venomicon,,,Venomicon,Prologue,0,showdown_formeOrder,8,base_form,no,no,Poison,Flying,85,50,113,64,118,90,Stamina|Power of Alchemy,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-66,Venomicon,,,Venomicon-Epilogue,Epilogue,1,showdown_formeOrder,8,held_item_derived,no,no,Poison,Flying,85,102,85,101,62,85,Tinted Lens,Vile Vial,,,,Venomicon,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-39,Crucibelle,,,Crucibelle,Base,0,showdown_formeOrder,6,base_form,no,no,Rock,Poison,106,105,65,104,75,85,Regenerator|Mold Breaker|Liquid Ooze,,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
-39,Crucibelle,,,Crucibelle-Mega,Mega,1,showdown_formeOrder,6,battle_transformation,no,no,Rock,Poison,106,135,75,108,91,125,Magic Guard,Crucibellite,,,,,,,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,,,,excluded_nonpokemon_actor
