category,resource_index,index_semantics,japanese,korean,english,source_ja,source_ko,source_en,source_commit
species,14,species_id,コクーン,딱충이,Kakuna,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,15,species_id,スピアー,독침붕,Beedrill,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,16,species_id,ポッポ,구구,Pidgey,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,17,species_id,ピジョン,피죤,Pidgeotto,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,18,species_id,ピジョット,피죤투,Pidgeot,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,19,species_id,コラッタ,꼬렛,Rattata,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,20,species_id,ラッタ,레트라,Raticate,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,21,species_id,オニスズメ,깨비참,Spearow,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,22,species_id,オニドリル,깨비드릴조,Fearow,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,23,species_id,アーボ,아보,Ekans,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,24,species_id,アーボック,아보크,Arbok,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,25,species_id,ピカチュウ,피카츄,Pikachu,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,26,species_id,ライチュウ,라이츄,Raichu,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,27,species_id,サンド,모래두지,Sandshrew,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,28,species_id,サンドパン,고지,Sandslash,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,29,species_id,ニドラン♀,니드런♀,Nidoran♀,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,30,species_id,ニドリーナ,니드리나,Nidorina,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,31,species_id,ニドクイン,니드퀸,Nidoqueen,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,32,species_id,ニドラン♂,니드런♂,Nidoran♂,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,33,species_id,ニドリーノ,니드리노,Nidorino,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,34,species_id,ニドキング,니드킹,Nidoking,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,35,species_id,ピッピ,삐삐,Clefairy,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,36,species_id,ピクシー,픽시,Clefable,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,37,species_id,ロコン,식스테일,Vulpix,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,38,species_id,キュウコン,나인테일,Ninetales,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,39,species_id,プリン,푸린,Jigglypuff,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,40,species_id,プクリン,푸크린,Wigglytuff,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,41,species_id,ズバット,주뱃,Zubat,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,42,species_id,ゴルバット,골뱃,Golbat,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,43,species_id,ナゾノクサ,뚜벅쵸,Oddish,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,44,species_id,クサイハナ,냄새꼬,Gloom,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,45,species_id,ラフレシア,라플레시아,Vileplume,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,46,species_id,パラス,파라스,Paras,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,47,species_id,パラセクト,파라섹트,Parasect,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,48,species_id,コンパン,콘팡,Venonat,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,49,species_id,モルフォン,도나리,Venomoth,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,50,species_id,ディグダ,디그다,Diglett,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,51,species_id,ダグトリオ,닥트리오,Dugtrio,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,52,species_id,ニャース,나옹,Meowth,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,53,species_id,ペルシアン,페르시온,Persian,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,54,species_id,コダック,고라파덕,Psyduck,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,55,species_id,ゴルダック,골덕,Golduck,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,56,species_id,マンキー,망키,Mankey,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,57,species_id,オコリザル,성원숭,Primeape,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,58,species_id,ガーディ,가디,Growlithe,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,59,species_id,ウインディ,윈디,Arcanine,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,60,species_id,ニョロモ,발챙이,Poliwag,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,61,species_id,ニョロゾ,슈륙챙이,Poliwhirl,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,62,species_id,ニョロボン,강챙이,Poliwrath,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,63,species_id,ケーシィ,캐이시,Abra,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,64,species_id,ユンゲラー,윤겔라,Kadabra,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,65,species_id,フーディン,후딘,Alakazam,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,66,species_id,ワンリキー,알통몬,Machop,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,67,species_id,ゴーリキー,근육몬,Machoke,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,68,species_id,カイリキー,괴력몬,Machamp,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,69,species_id,マダツボミ,모다피,Bellsprout,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,70,species_id,ウツドン,우츠동,Weepinbell,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,71,species_id,ウツボット,우츠보트,Victreebel,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,72,species_id,メノクラゲ,왕눈해,Tentacool,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,73,species_id,ドククラゲ,독파리,Tentacruel,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,74,species_id,イシツブテ,꼬마돌,Geodude,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,75,species_id,ゴローン,데구리,Graveler,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,76,species_id,ゴローニャ,딱구리,Golem,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,77,species_id,ポニータ,포니타,Ponyta,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,78,species_id,ギャロップ,날쌩마,Rapidash,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,79,species_id,ヤドン,야돈,Slowpoke,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,80,species_id,ヤドラン,야도란,Slowbro,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,81,species_id,コイル,코일,Magnemite,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,82,species_id,レアコイル,레어코일,Magneton,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,83,species_id,カモネギ,파오리,Farfetch’d,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,84,species_id,ドードー,두두,Doduo,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,85,species_id,ドードリオ,두트리오,Dodrio,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,86,species_id,パウワウ,쥬쥬,Seel,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,87,species_id,ジュゴン,쥬레곤,Dewgong,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,88,species_id,ベトベター,질퍽이,Grimer,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,89,species_id,ベトベトン,질뻐기,Muk,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,90,species_id,シェルダー,셀러,Shellder,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,91,species_id,パルシェン,파르셀,Cloyster,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,92,species_id,ゴース,고오스,Gastly,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,93,species_id,ゴースト,고우스트,Haunter,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,94,species_id,ゲンガー,팬텀,Gengar,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
species,95,species_id,イワーク,롱스톤,Onix,PKHeX.Core/Resources/text/other/ja/text_Species_ja.txt,PKHeX.Core/Resources/text/other/ko/text_Species_ko.txt,PKHeX.Core/Resources/text/other/en/text_Species_en.txt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
